index	pali_chant	english_chant	chapter	link
68	Adāsi-me-ādi-gāthā	"Verses Starting with ""He Gave to Me"""	Funeral Chants	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-68-adasi-me-adi-gatha/
69	Maraṇa-paccavekkhaṇā	Reflections on Death	Funeral Chants	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-69-pamsu-kula/
70	Uddissan'ādhiṭṭhānā	Sharing and Aspirations	Sharing of Merits	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-70-sharing-and-aspirations/
71	Sabba-patti-dāna	Sharing of All Merits	Sharing of Merits	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-71-sharing-of-all-merits/
72	Peta-patti-dāna	Sharing of Merits with the Departed	Sharing of Merits	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-72-sharing-of-merits-with-the-departed/
73	Devata-patti-dāna	Sharing of Merits with the Devas	Sharing of Merits	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-73-sharing-of-merits-with-the-devas/
74	Paramāya-pūjāyañ'ca-paṇidhiñ'ca	The Highest Honour and Aspirations	Sharing of Merits	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-74-the-highest-honour-and-aspirations/
75	Pubbakicca	Preliminary duty	International Pātimokkha	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/pubbakicca-analysis/
76	Pubba-bhāga	Preliminary Homage	Post Pātimokkha	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/post-patimokkha/#preliminary-homage
77	Sīl'uddesa-pāṭha	Recitation of virtue	Post Pātimokkha	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/post-patimokkha/#recitation-of-virtue
