source	web_link
suddhakāḷakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/suddhakāḷakasikkhāpadaṃ/suddhakāḷakasikkhāpadaṃ.html
dvebhāgasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dvebhāgasikkhāpadaṃ/dvebhāgasikkhāpadaṃ.html
chabbassasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/chabbassasikkhāpadaṃ/chabbassasikkhāpadaṃ.html
nisīdanasanthatasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nisīdanasanthatasikkhāpadaṃ/nisīdanasanthatasikkhāpadaṃ.html
eḷakalomasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/eḷakalomasikkhāpadaṃ/eḷakalomasikkhāpadaṃ.html
eḷakalomadhovāpanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/eḷakalomadhovāpanasikkhāpadaṃ/eḷakalomadhovāpanasikkhāpadaṃ.html
rūpiyasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/rūpiyasikkhāpadaṃ/rūpiyasikkhāpadaṃ.html
rūpiyasaṃvohārasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/rūpiyasaṃvohārasikkhāpadaṃ/rūpiyasaṃvohārasikkhāpadaṃ.html
kayavikkayasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kayavikkayasikkhāpadaṃ/kayavikkayasikkhāpadaṃ.html
pattasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pattasikkhāpadaṃ/pattasikkhāpadaṃ.html
ūnapañcabandhanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ūnapañcabandhanasikkhāpadaṃ/ūnapañcabandhanasikkhāpadaṃ.html
bhesajjasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/bhesajjasikkhāpadaṃ/bhesajjasikkhāpadaṃ.html
vassikasāṭikasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/vassikasāṭikasikkhāpadaṃ/vassikasāṭikasikkhāpadaṃ.html
cīvaraacchindanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/cīvaraacchindanasikkhāpadaṃ/cīvaraacchindanasikkhāpadaṃ.html
suttaviññattisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/suttaviññattisikkhāpadaṃ/suttaviññattisikkhāpadaṃ.html
mahāpesakārasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/mahāpesakārasikkhāpadaṃ/mahāpesakārasikkhāpadaṃ.html
accekacīvarasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/accekacīvarasikkhāpadaṃ/accekacīvarasikkhāpadaṃ.html
sāsaṅkasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sāsaṅkasikkhāpadaṃ/sāsaṅkasikkhāpadaṃ.html
pariṇatasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pariṇatasikkhāpadaṃ/pariṇatasikkhāpadaṃ.html
pācittiyā	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pācittiyā/pācittiyā.html
musāvādasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/musāvādasikkhāpadaṃ/musāvādasikkhāpadaṃ.html
omasavādasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/omasavādasikkhāpadaṃ/omasavādasikkhāpadaṃ.html
pesuññasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pesuññasikkhāpadaṃ/pesuññasikkhāpadaṃ.html
padasodhammasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/padasodhammasikkhāpadaṃ/padasodhammasikkhāpadaṃ.html
paṭhamasahaseyyasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/paṭhamasahaseyyasikkhāpadaṃ/paṭhamasahaseyyasikkhāpadaṃ.html
dutiyasahaseyyasikkhāpada	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dutiyasahaseyyasikkhāpada/dutiyasahaseyyasikkhāpada.html
dhammadesanāsikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dhammadesanāsikkhāpadaṃ/dhammadesanāsikkhāpadaṃ.html
bhūtārocanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/bhūtārocanasikkhāpadaṃ/bhūtārocanasikkhāpadaṃ.html
duṭṭhullārocanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/duṭṭhullārocanasikkhāpadaṃ/duṭṭhullārocanasikkhāpadaṃ.html
pathavīkhaṇanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pathavīkhaṇanasikkhāpadaṃ/pathavīkhaṇanasikkhāpadaṃ.html
bhūtagāmasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/bhūtagāmasikkhāpadaṃ/bhūtagāmasikkhāpadaṃ.html
aññavādakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/aññavādakasikkhāpadaṃ/aññavādakasikkhāpadaṃ.html
ujjhāpanakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ujjhāpanakasikkhāpadaṃ/ujjhāpanakasikkhāpadaṃ.html
paṭhamasenāsanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/paṭhamasenāsanasikkhāpadaṃ/paṭhamasenāsanasikkhāpadaṃ.html
"dutiyasenāsanasikkhāpadaṃ
"	"https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dutiyasenāsanasikkhāpadaṃ
/dutiyasenāsanasikkhāpadaṃ
.html"
anupakhajjasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/anupakhajjasikkhāpadaṃ/anupakhajjasikkhāpadaṃ.html
nikkaḍḍhanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nikkaḍḍhanasikkhāpadaṃ/nikkaḍḍhanasikkhāpadaṃ.html
vehāsakuṭisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/vehāsakuṭisikkhāpadaṃ/vehāsakuṭisikkhāpadaṃ.html
mahallakavihārasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/mahallakavihārasikkhāpadaṃ/mahallakavihārasikkhāpadaṃ.html
sappāṇakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sappāṇakasikkhāpadaṃ/sappāṇakasikkhāpadaṃ.html
ovādasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ovādasikkhāpadaṃ/ovādasikkhāpadaṃ.html
atthaṅgatasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/atthaṅgatasikkhāpadaṃ/atthaṅgatasikkhāpadaṃ.html
bhikkhunupassayasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/bhikkhunupassayasikkhāpadaṃ/bhikkhunupassayasikkhāpadaṃ.html
āmisasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/āmisasikkhāpadaṃ/āmisasikkhāpadaṃ.html
cīvaradānasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/cīvaradānasikkhāpadaṃ/cīvaradānasikkhāpadaṃ.html
cīvarasibbanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/cīvarasibbanasikkhāpadaṃ/cīvarasibbanasikkhāpadaṃ.html
saṃvidhānasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/saṃvidhānasikkhāpadaṃ/saṃvidhānasikkhāpadaṃ.html
nāvābhiruhanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nāvābhiruhanasikkhāpadaṃ/nāvābhiruhanasikkhāpadaṃ.html
paripācitasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/paripācitasikkhāpadaṃ/paripācitasikkhāpadaṃ.html
rahonisajjasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/rahonisajjasikkhāpadaṃ/rahonisajjasikkhāpadaṃ.html
āvasathapiṇḍasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/āvasathapiṇḍasikkhāpadaṃ/āvasathapiṇḍasikkhāpadaṃ.html
gaṇabhojanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/gaṇabhojanasikkhāpadaṃ/gaṇabhojanasikkhāpadaṃ.html
paramparabhojanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/paramparabhojanasikkhāpadaṃ/paramparabhojanasikkhāpadaṃ.html
kāṇamātusikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kāṇamātusikkhāpadaṃ/kāṇamātusikkhāpadaṃ.html
paṭhamapavāraṇāsikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/paṭhamapavāraṇāsikkhāpadaṃ/paṭhamapavāraṇāsikkhāpadaṃ.html
dutiyapavāraṇāsikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dutiyapavāraṇāsikkhāpadaṃ/dutiyapavāraṇāsikkhāpadaṃ.html
vikālabhojanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/vikālabhojanasikkhāpadaṃ/vikālabhojanasikkhāpadaṃ.html
sannidhikārakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sannidhikārakasikkhāpadaṃ/sannidhikārakasikkhāpadaṃ.html
paṇītabhojanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/paṇītabhojanasikkhāpadaṃ/paṇītabhojanasikkhāpadaṃ.html
dantaponasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dantaponasikkhāpadaṃ/dantaponasikkhāpadaṃ.html
acelakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/acelakasikkhāpadaṃ/acelakasikkhāpadaṃ.html
uyyojanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/uyyojanasikkhāpadaṃ/uyyojanasikkhāpadaṃ.html
sabhojanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sabhojanasikkhāpadaṃ/sabhojanasikkhāpadaṃ.html
rahopaṭicchannasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/rahopaṭicchannasikkhāpadaṃ/rahopaṭicchannasikkhāpadaṃ.html
rahonisajjasikkhāpadaṃ 2	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/rahonisajjasikkhāpadaṃ 2/rahonisajjasikkhāpadaṃ 2.html
cārittasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/cārittasikkhāpadaṃ/cārittasikkhāpadaṃ.html
mahānāmasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/mahānāmasikkhāpadaṃ/mahānāmasikkhāpadaṃ.html
uyyuttasenāsikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/uyyuttasenāsikkhāpadaṃ/uyyuttasenāsikkhāpadaṃ.html
senāvāsasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/senāvāsasikkhāpadaṃ/senāvāsasikkhāpadaṃ.html
uyyodhikasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/uyyodhikasikkhāpadaṃ/uyyodhikasikkhāpadaṃ.html
surāpānasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/surāpānasikkhāpadaṃ/surāpānasikkhāpadaṃ.html
aṅgulipatodakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/aṅgulipatodakasikkhāpadaṃ/aṅgulipatodakasikkhāpadaṃ.html
hasadhammasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/hasadhammasikkhāpadaṃ/hasadhammasikkhāpadaṃ.html
anādariyasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/anādariyasikkhāpadaṃ/anādariyasikkhāpadaṃ.html
bhiṃsāpanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/bhiṃsāpanasikkhāpadaṃ/bhiṃsāpanasikkhāpadaṃ.html
jotisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/jotisikkhāpadaṃ/jotisikkhāpadaṃ.html
nahānasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nahānasikkhāpadaṃ/nahānasikkhāpadaṃ.html
dubbaṇṇakaraṇasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dubbaṇṇakaraṇasikkhāpadaṃ/dubbaṇṇakaraṇasikkhāpadaṃ.html
vikappanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/vikappanasikkhāpadaṃ/vikappanasikkhāpadaṃ.html
apanidhānasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/apanidhānasikkhāpadaṃ/apanidhānasikkhāpadaṃ.html
sañciccasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sañciccasikkhāpadaṃ/sañciccasikkhāpadaṃ.html
sappāṇakasikkhāpadaṃ 2	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sappāṇakasikkhāpadaṃ 2/sappāṇakasikkhāpadaṃ 2.html
ukkoṭanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ukkoṭanasikkhāpadaṃ/ukkoṭanasikkhāpadaṃ.html
duṭṭhullasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/duṭṭhullasikkhāpadaṃ/duṭṭhullasikkhāpadaṃ.html
ūnavīsativassasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ūnavīsativassasikkhāpadaṃ/ūnavīsativassasikkhāpadaṃ.html
theyyasatthasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/theyyasatthasikkhāpadaṃ/theyyasatthasikkhāpadaṃ.html
saṃvidhānasikkhāpadaṃ 2	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/saṃvidhānasikkhāpadaṃ 2/saṃvidhānasikkhāpadaṃ 2.html
ariṭṭhasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ariṭṭhasikkhāpadaṃ/ariṭṭhasikkhāpadaṃ.html
ukkhittasambhogasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ukkhittasambhogasikkhāpadaṃ/ukkhittasambhogasikkhāpadaṃ.html
kaṇṭakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kaṇṭakasikkhāpadaṃ/kaṇṭakasikkhāpadaṃ.html
sahadhammikasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sahadhammikasikkhāpadaṃ/sahadhammikasikkhāpadaṃ.html
vilekhanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/vilekhanasikkhāpadaṃ/vilekhanasikkhāpadaṃ.html
mohanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/mohanasikkhāpadaṃ/mohanasikkhāpadaṃ.html
pahārasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pahārasikkhāpadaṃ/pahārasikkhāpadaṃ.html
talasattikasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/talasattikasikkhāpadaṃ/talasattikasikkhāpadaṃ.html
amūlakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/amūlakasikkhāpadaṃ/amūlakasikkhāpadaṃ.html
sañciccasikkhāpadaṃ 2	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sañciccasikkhāpadaṃ 2/sañciccasikkhāpadaṃ 2.html
upassutisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/upassutisikkhāpadaṃ/upassutisikkhāpadaṃ.html
kammappaṭibāhanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kammappaṭibāhanasikkhāpadaṃ/kammappaṭibāhanasikkhāpadaṃ.html
chandaṃadatvāgamanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/chandaṃadatvāgamanasikkhāpadaṃ/chandaṃadatvāgamanasikkhāpadaṃ.html
dubbalasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dubbalasikkhāpadaṃ/dubbalasikkhāpadaṃ.html
pariṇāmanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pariṇāmanasikkhāpadaṃ/pariṇāmanasikkhāpadaṃ.html
antepurasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/antepurasikkhāpadaṃ/antepurasikkhāpadaṃ.html
ratanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ratanasikkhāpadaṃ/ratanasikkhāpadaṃ.html
vikālagāmappavesanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/vikālagāmappavesanasikkhāpadaṃ/vikālagāmappavesanasikkhāpadaṃ.html
sūcigharasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sūcigharasikkhāpadaṃ/sūcigharasikkhāpadaṃ.html
mañcapīṭhasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/mañcapīṭhasikkhāpadaṃ/mañcapīṭhasikkhāpadaṃ.html
tūlonaddhasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/tūlonaddhasikkhāpadaṃ/tūlonaddhasikkhāpadaṃ.html
nisīdanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nisīdanasikkhāpadaṃ/nisīdanasikkhāpadaṃ.html
kaṇḍuppaṭicchādisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kaṇḍuppaṭicchādisikkhāpadaṃ/kaṇḍuppaṭicchādisikkhāpadaṃ.html
vassikasāṭikāsikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/vassikasāṭikāsikkhāpadaṃ/vassikasāṭikāsikkhāpadaṃ.html
nandasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nandasikkhāpadaṃ/nandasikkhāpadaṃ.html
pācittiyā	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pācittiyā/pācittiyā.html
pāṭidesanīyā	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pāṭidesanīyā/pāṭidesanīyā.html
paṭhamapāṭidesanīyasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/paṭhamapāṭidesanīyasikkhāpadaṃ/paṭhamapāṭidesanīyasikkhāpadaṃ.html
