"id"	"class_anki"	"sbs_class"	"sbs_category"	"sbs_patimokkha"	"sbs_meaning"	"sbs_notes"	"sbs_source_1"	"sbs_sutta_1"	"sbs_example_1"	"sbs_chant_pali_1"	"sbs_chant_eng_1"	"sbs_chapter_1"	"sbs_source_2"	"sbs_sutta_2"	"sbs_example_2"	"sbs_chant_pali_2"	"sbs_chant_eng_2"	"sbs_chapter_2"	"sbs_source_3"	"sbs_sutta_3"	"sbs_example_3"	"sbs_chant_pali_3"	"sbs_chant_eng_3"	"sbs_chapter_3"	"sbs_source_4"	"sbs_sutta_4"	"sbs_example_4"	"sbs_chant_pali_4"	"sbs_chant_eng_4"	"sbs_chapter_4"	"sbs_index"
"2"	""	""	""	""	""	""	"DN22.2"	"mahāsatipaṭṭhānasuttaṃ"	"so sato'va <b>a</b>ssasati sato'va passasati"	""	""	""	"DN19.15"	"mahāgovindasuttaṃ"	"atha kho bho mahāgovindo brāhmaṇo tassa satt'āhassa accayena kesamassuṃ ohāretvā kāsāyāni vatthāni <b>a</b>cchādetvā agārasmā anagāriyaṃ pabbaji"	""	""	""	"VIN1.2.1"	"sukkavissaṭṭhisikkhāpadaṃ"	"saṅghādiseso'ti saṅgho'va tassā āpattiyā parivāsaṃ deti, mūlāya paṭikassati, mānattaṃ deti, <b>a</b>bbheti, na sambahulā, na ekapuggalo. tena vuccati, saṅghādiseso'ti."	""	""	""	""	""	""	""	""	""	""
"3"	""	""	""	""	""	""	"SNP16"	"maṅgalasuttaṃ
cūḷavaggo 4"	"upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ <b>a</b>ṭṭhāsi. ekam'antaṃ ṭhitā kho sā devatā bhagavantaṃ gāthāya ajjhabhāsi"	""	""	""	"SN1.13"	"natthiputtasamasuttaṃ"	"sāvatthinidānaṃ. ekam'antaṃ ṭhitā kho sā devatā bhagavato santike imaṃ gāthaṃ <b>a</b>bhāsi."	""	""	""	"MN43"	"mahāvedallasuttaṃ"	"te ca h'āvuso, āyusaṅkhārā <b>a</b>bhaviṃsu te vedaniyā dhammā, na'y'idaṃ saññāvedayitanirodhaṃ samāpannassa bhikkhuno vuṭṭhānaṃ paññāyetha."	""	""	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	""	"DN22.18"	"mahāsatipaṭṭhānasuttaṃ"	"sukhassa ca pahānā dukkhassa ca pahānā, pubb'eva somanassadomanassānaṃ atthaṅ'gamā, <b>adukkham'asukhaṃ</b> upekkhāsatipārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati."	""	""	""	"AN3.112"	"paṭhamanidānasuttaṃ"	"yaṃ, bhikkhave, <b>a</b>dosapakataṃ kammaṃ <b>a</b>dosajaṃ <b>a</b>dosanidānaṃ <b>a</b>dosasamudayaṃ, taṃ kammaṃ kusalaṃ taṃ kammaṃ anavajjaṃ"	""	""	""	"UD45"	"uposathasuttaṃ"	"addasā kho āyasmā mahāmoggallāno taṃ puggalaṃ dussīlaṃ pāpadhammaṃ <b>a</b>suciṃ saṅkassarasamācāraṃ paṭicchannakamm'antaṃ <b>a</b>samaṇaṃ samaṇapaṭiññaṃ <b>a</b>brahmacāriṃ brahmacāripaṭiññaṃ antopūtiṃ avassutaṃ kasambujātaṃ majjhe bhikkhusaṅghassa nisinnaṃ"	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	""	""	"DN16.1"	"mahāparinibbānasuttaṃ"	"ahaṃ h'ime vajjī evaṃmahiddhike evaṃmah'ānubhāve ucchecchāmi [ucchejjāmi (syā. pī.), ucchijjāmi (ka.)] vajjī, vināsessāmi vajjī, anayabyasanaṃ āpādessāmi vajjī'ti [āpādessāmi vajjī'ti (sabbattha) <b>a</b>. ni. 7.22 passitabbaṃ] ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	"11"	""	""	""	""	"DHP408"	"brāhmaṇavaggo"	"<b>akakkasaṃ</b> viññāpaniṃ,
giraṃ saccam'udīraye,
yāya n'ābhisaje kañci,
tam'ahaṃ brūmi brāhmaṇaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	""	"5"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco <b>akaṅkhī</b> hoti avicikicchī niṭṭhaṅ'gato saddhamme. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati. tassa aññatarena gāḷhena rog'ātaṅkena phuṭṭhassa evaṃ hoti, <b>akaṅkhī</b> vat'amhi avicikicchī niṭṭhaṅ'gato saddhamme'ti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	""	"10"	""	""	""	""	"DHP390"	"brāhmaṇavaggo"	"na brāhmaṇass'etad<b>akiñci</b> seyyo,
yadā nisedho manaso piyehi,
yato yato hiṃsamano nivattati,
tato tato sammati'm'eva dukkhaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	""	"14"	""	""	""	""	"AN3.68"	"kathāvatthusuttaṃ"	"kathāsampayogena, bhikkhave, puggalo veditabbo yadi vā kaccho yadi vā <b>akaccho</b>'ti."	""	""	""	"AN3.68"	"kathāvatthusuttaṃ"	"sac'āyaṃ, bhikkhave, puggalo pañhaṃ puṭṭho samāno aññen'aññaṃ paṭicarati, bahiddhā kathaṃ apanāmeti, kopañ'ca dosañ'ca appaccayañ'ca pātukaroti, evaṃ sant'āyaṃ, bhikkhave, puggalo <b>akaccho</b> hoti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	""	"11"	""	"pat"	""	""	"VIN PAT PC 69"	"ukkhittasambhogasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā <b>akaṭ</b>'ānudhammena taṃ diṭṭhiṃ appaṭinissaṭṭhena saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ."	""	""	""	"VIN2.5.7.9"	"ukkhittasambhogasikkhāpadaṃ"	"<b>akaṭ</b>'ānudhammo nāma ukkhitto anosārito."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	""	"19"	""	"pat"	""	""	"VIN PAT PC 69"	"ukkhittasambhogasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā <b>akaṭ'ānudhammena</b> taṃ diṭṭhiṃ appaṭinissaṭṭhena saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"18"	"11"	""	""	""	""	"DHP314"	"nirayavaggo"	"<b>akataṃ</b> dukkaṭaṃ seyyo,
pacchā tappati dukkaṭaṃ,
katañ'ca sukataṃ seyyo,
yaṃ katvā n'ānutappati."	"Tāyana-gāthā"	"On Protection"	"Verses"	""	""	""	""	""	""	"AN5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akata</b>pubbaṃ, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."	""	""	""	""	""	""	""	""	""	"15"
"33"	"11"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"UD73"	"tatiya nibbāna paṭisaṃyuttasuttaṃ"	"atthi, bhikkhave, ajātaṃ abhūtaṃ <b>akataṃ</b> asaṅkhataṃ"	""	""	""	""	""	""	""	""	""	""
"34"	""	"11"	""	""	""	""	"DHP50"	"pupphavaggo"	"na paresaṃ vilomāni,
na paresaṃ kata-<b>akataṃ</b>,
attano'va avekkheyya,
katāni <b>akatāni</b> ca."	""	""	""	"DHP314"	"nirayavaggo"	"<b>akataṃ</b> dukkaṭaṃ seyyo, pacchā tappati dukkaṭaṃ,
katañ'ca sukataṃ seyyo, yaṃ katvā n'ānutappati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	""	"20"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco <b>akatakalyāṇo</b> hoti akatakusalo akatabhīruttāṇo katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	"20"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco akatapāpo hoti akataluddo <b>akatakibbiso</b> katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	""	"20"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco akatakalyāṇo hoti <b>akatakusalo</b> akatabhīruttāṇo katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	""	"6"	""	""	""	""	"DHP97"	"arahantavaggo"	"assaddho <b>akataññū</b> ca,
sandhicchedo ca yo naro,
hat'āvakāso vant'āso,
sa ve uttamaporiso."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	""	"6"	""	""	""	""	"DHP383"	"brāhmaṇavaggo"	"chinda sotaṃ parakkamma,
kāme panuda brāhmaṇa,
saṅkhārānaṃ khayaṃ ñatvā,
<b>akataññū</b>'si brāhmaṇa."	""	""	""	"DHP97"	"arahantavaggo"	"assaddho <b>akataññū</b> ca,
sandhicchedo ca yo naro,
hat'āvakāso vant'āso,
sa ve uttamaporiso."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	""	"20"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco <b>akatapāpo</b> hoti akataluddo akatakibbiso katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"18"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AN5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akatapubbaṃ</b>, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti. evaṃ kho, bhikkhave, rañño nāgo sotā hoti."	""	""	""	""	""	""	""	""	""	""
"55"	""	"20"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco akatakalyāṇo hoti akatakusalo <b>akatabhīruttāṇo</b> katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	""	"20"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco akatapāpo hoti <b>akataluddo</b> akatakibbiso katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	""	"20"	""	""	""	""	"PAT PK"	"dhammayuttikapubbakicca"	"pānīyaparibhojanīya-upaṭṭhapanañ'ca, chand'ārahānaṃ bhikkhūnaṃ chand'āharaṇañ'ca, tesaññ'eva <b>akat'uposathānaṃ</b> pārisuddhiyā'pi āharaṇañ'ca"	"Pubbakicca"	"Preliminary duty"	"International Pātimokkha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"75"
"69"	""	"10"	""	""	""	""	"SNP41"	"duṭṭhaṭṭhakasuttaṃ
aṭṭhakavaggo 3"	"santo ca bhikkhu abhinibbut'atto,
iti'han'ti sīlesu <b>akatthamāno</b>,
tam'ariyadhammaṃ kusalā vadanti,
yass'ussadā n'atthi kuhiñci loke."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	""	"19"	"mn107"	""	""	""	"MN112"	"chabbisodhanasuttaṃ"	"vicikicchaṃ pahāya tiṇṇavicikiccho vihāsiṃ <b>akathaṃkathī</b> kusalesu dhammesu, vicikicchāya cittaṃ parisodhesiṃ."	"Anupubba-sikkhā"	"The Gradual Training"	"Teachings"	"DHP411"	"brāhmaṇavaggo"	"yass'ālayā na vijjanti,
aññāya <b>akathaṃkathī</b>,
amat'ogadham'anuppattaṃ,
tam'ahaṃ brūmi brāhmaṇaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19"
"78"	""	"11"	""	""	""	""	"SN20.9"	"nāgasuttaṃ"	"te taṃ sarasiṃ ogāhetvā soṇḍāya bhisamuḷālaṃ abbuhetvā suvikkhālitaṃ vikkhāletvā <b>akaddamaṃ</b> saṅkhāditvā ajjhoharanti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	"19"	""	""	""	""	"SN46.3"	"sīlasuttaṃ"	"no ce pañcannaṃ orambhāgiyānaṃ saṃyojanānaṃ parikkhayā sasaṅkhāraparinibbāyī hoti, atha pañcannaṃ orambhāgiyānaṃ saṃyojanānaṃ parikkhayā uddhaṃsoto hoti <b>akaniṭṭha</b>gāmī."	""	""	""	"SNa35.228"	"paṭhama samuddasuttaṃ vaṇṇanā"	"tassa hi pathavito yāva <b>akaniṭṭha</b>brahmalokā nīl'ādiārammaṇaṃ samosarantaṃ paripuṇṇabhāvaṃ kātuṃ na sakkoti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	""	"11"	""	""	""	""	"Trad"	""	"yan'dunnimittaṃ avamaṅgalañ'ca, yo c'āmanāpo sakuṇassa saddo, pāpaggaho dussupinaṃ <b>akantaṃ</b>, buddh'ānubhāvena vināsam'entu"	"Abhaya-parittaṃ"	""	"Protective Recitations"	"DN17.4"	"mahāsudassanasuttaṃ"	"dīgharattaṃ kho maṃ tvaṃ, devi, iṭṭhehi kantehi piyehi manāpehi samudācarittha, atha ca pana maṃ tvaṃ pacchime kāle aniṭṭhehi <b>akantehi</b> appiyehi amanāpehi samudācarasī'ti"	""	""	""	"MN28"	"mahāhatthipadopamasuttaṃ"	"tañ'ce, āvuso, bhikkhuṃ pare aniṭṭhehi <b>akantehi</b> amanāpehi samudācaranti, pāṇisamphassena'pi leḍḍusamphassena'pi daṇḍasamphassena'pi satthasamphassena'pi."	""	""	""	"DN22.15"	"mahāsatipaṭṭhānasuttaṃ"	"idha yassa te honti aniṭṭhā <b>akantā</b> amanāpā rūpā saddā gandhā rasā phoṭṭhabbā dhammā, ye vā pan'assa te honti anatthakāmā ahitakāmā aphāsukakāmā ayogakkhemakāmā"	""	""	""	"60"
"90"	""	"14"	""	""	""	""	"AN4.122"	"ūmibhayasuttaṃ"	"kappiyaṃ te khāditabbaṃ, <b>akappiyaṃ</b> te na khāditabbaṃ, kappiyaṃ te bhuñjitabbaṃ, <b>akappiyaṃ</b> te na bhuñjitabbaṃ"	""	""	""	"VIN1.1.2"	"dutiyapārājikaṃ"	"vigarahi buddho bhagavā, ananucchavikaṃ, moghapurisa, ananulomikaṃ appatirūpaṃ assāmaṇakaṃ <b>akappiyaṃ</b> akaraṇīyaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"11"	""	""	""	""	"SNP48"	"purābhedasuttaṃ
aṭṭhakavaggo 10"	"vītagedho amaccharī,
na ussesu vadate muni,
na samesu na omesu,
kappaṃ n'eti <b>akappiyo</b>."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"19"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AN3.126"	"gotamakacetiyasuttaṃ"	"idam'avoca bhagavā. attamanā te bhikkhū bhagavato bhāsitaṃ abhinandun'ti. imasmiñ'ca pana veyyākaraṇasmiṃ bhaññamāne sahassī lokadhātu <b>akampitthā</b>'ti."	""	""	""	""	""	""	""	""	""	""
"109"	"11"	"11"	"sn12"	""	""	""	"AN6.10"	"mahānāmasuttaṃ"	"puna caparaṃ, mahānāma, ariyasāvako attano sīlāni anussarati akhaṇḍāni acchiddāni asabalāni <b>akammāsāni</b> bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhisaṃvattanikāni."	"Cha sāraṇīya-dhammā"	"Principles of Cordiality"	"Teachings"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"27"
"112"	""	"9"	""	""	""	""	"DHP183"	"buddhavaggo"	"sabbapāpassa <b>akaraṇaṃ</b>,
kusalassa upasampadā,
sacittapariyodapanaṃ,
etaṃ buddhāna sāsanaṃ."	"Ovāda-pāṭimokkha-gāthā"	"The Pāṭimokkha Exhortation"	"Verses"	"DHP333"	"nāgavaggo"	"sukhaṃ yāva jarā sīlaṃ,
sukhā saddhā patiṭṭhitā,
sukho paññāya paṭilābho,
pāpānaṃ <b>akaraṇaṃ</b> sukhaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10"
"113"	""	"14"	""	""	""	""	"AN5.177"	"vaṇijjāsuttaṃ"	"pañc'imā, bhikkhave, vaṇijjā upāsakena <b>akaraṇīyā</b>. katamā pañca? satthavaṇijjā, sattavaṇijjā, maṃsavaṇijjā, majjavaṇijjā, visavaṇijjā."	""	""	""	"AN7.67"	"nagaropamasuttaṃ"	"ayaṃ vuccati ariyasāvako <b>akaraṇīyo</b> mārassa akaraṇīyo pāpimato'ti"	""	""	""	"VIN1.2.1"	"sukkavissaṭṭhi sikkhāpada"	"ananucchavikaṃ, moghapurisa, ananulomikaṃ appatirūpaṃ assāmaṇakaṃ akappiyaṃ <b>akaraṇīyaṃ</b>."	""	""	""	""	""	""	""	""	""	""
"118"	""	"8"	"sn56"	""	""	""	"SN56.44"	"kūṭāgārasuttaṃ"	"seyyathā'pi, bhikkhave, yo evaṃ vadeyya, ahaṃ kūṭ'āgārassa heṭṭhimaṃ gharaṃ <b>akaritvā</b> uparimaṃ gharaṃ āropessāmī'ti, n'etaṃ ṭhānaṃ vijjati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	""	"10"	""	""	""	""	"ITI76"	"sukhapatthanāsuttaṃ"	"<b>akaronto</b>'pi ce pāpaṃ,
karontam'upasevati,
saṅkiyo hoti pāpasmiṃ,
avaṇṇo c'assa rūhati."	""	""	""	"TH172"	"bākulattheragāthā"	"yañ'hi kayirā tañ'hi vade,
yaṃ na kayirā na taṃ vade,
<b>akarontaṃ</b> bhāsamānaṃ,
parijānanti paṇḍitā."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	"11"	""	""	""	""	"AN8.30"	"anuruddha mahāvitakkasuttaṃ"	"imesañ'ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhammasukhavihārānaṃ nikāmalābhī bhavissasi akicchalābhī <b>akasira</b>lābhī"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"19"	""	""	""	""	"AN8.30"	"anuruddha mahāvitakkasuttaṃ"	"imesañ'ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhammasukhavihārānaṃ nikāmalābhī bhavissasi akicchalābhī <b>akasiralābhī</b>"	""	""	""	"AN10.8"	"jhānasuttaṃ"	"yato ca kho, bhikkhave, bhikkhu … catunnañ'ca jhānānaṃ ābhicetasikānaṃ diṭṭhadhammasukhavihārānaṃ nikāmalābhī hoti akicchalābhī <b>akasiralābhī</b> … evaṃ so ten'aṅgena paripūro hoti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"52"	""	""	""	""	""	"SNP50"	"cūḷabyūhasuttaṃ
aṭṭhakavaggo 12"	"na v'āham'etaṃ tathiyan'ti brūmi,
yam'āhu bālā mithu aññam'aññaṃ,
sakaṃ sakaṃ diṭṭhim'<b>akaṃsu</b> saccaṃ,
tasmā hi bālo'ti paraṃ dahanti."	""	""	""	"SN1.37"	"samayasuttaṃ"	"tatra bhikkhavo samādahaṃsu,
cittam'attano ujukaṃ <b>akaṃsu</b>,
sārathī'va nettāni gahetvā,
indriyāni rakkhanti paṇḍitā'ti."	""	""	""	"MN81"	"ghaṭikārasuttaṃ"	"bhikkhū ghaṭikārassa kumbhakārassa āvesanaṃ uttiṇam'<b>akaṃsu</b>."	""	""	""	""	""	""	""	""	""	""
"147"	"49"	"11"	""	""	""	""	""	""	""	""	""	""	"AN6.57"	"chaḷabhijātisuttaṃ"	"seyyathā'pi, ānanda, puriso daliddo assako anāḷhiko, tassa <b>akāmakassa</b> bilaṃ olaggeyyuṃ, idaṃ te, ambho purisa, maṃsañca khāditabbaṃ, mūlañ'ca anuppadātabban'ti."	""	""	""	"DN4.3"	"soṇadaṇḍasuttaṃ"	"samaṇo khalu, bho, gotamo <b>akāmakānaṃ</b> mātāpitūnaṃ assumukhānaṃ rudantānaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni acchādetvā agārasmā anagāriyaṃ pabbajito"	""	""	""	""	""	""	""	""	""	""
"149"	""	"13"	""	"pat"	""	""	"VIN PAT SA"	"saṅghādisesuddeso"	"yesaṃ bhikkhu aññataraṃ vā aññataraṃ vā āpajjitvā yāvat'īhaṃ jānaṃ paṭicchādeti, tāvat'īhaṃ tena bhikkhunā <b>akāmā</b> parivatthabbaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	""	"5"	""	""	""	""	"NIDD1.2"	"duṭṭhaṭṭhakasuttaniddeso"	"<b>akārako</b>'mhī'ti yo vādaṃ upeti so imehi dvīhi kāraṇehi vādaṃ upeti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	"14"	""	""	""	""	"ANa3.68"	"kathāvatthusuttavaṇṇanā"	"ṭhān'āṭhāne na saṇṭhātī'ti kāraṇa-<b>akāraṇe</b> na saṇṭhāti. tatr'āyaṃ nayo, sassatavādī yuttena kāraṇena pahoti ucchedavādiṃ niggahetuṃ, ucchedavādī tena niggayhamāno, kiṃ pan'āhaṃ ucchedaṃ vadāmī'ti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"24"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MN65"	"bhaddālisuttaṃ"	"tassa mukh'ādhāne kāraṇaṃ kāriyamānassa honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ <b>akārita</b>pubbaṃ kāraṇaṃ kāriyamānassa."	""	""	""	""	""	""	""	""	""	""
"162"	"24"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MN65"	"bhaddālisuttaṃ"	"tassa mukh'ādhāne kāraṇaṃ kāriyamānassa honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ <b>akāritapubbaṃ</b> kāraṇaṃ kāriyamānassa."	""	""	""	""	""	""	""	""	""	""
"163"	""	"14"	""	""	""	""	"DHP176"	"lokavaggo"	"ekaṃ dhammaṃ atītassa,
musāvādissa jantuno,
vitiṇṇaparalokassa,
n'atthi pāpaṃ <b>akāriyaṃ</b>."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	""	"14"	""	""	""	""	"ANa3.68"	"kathāvatthusuttavaṇṇanā"	"divāṭṭhāne nisinnakāle pana okāsaṃ kāretvā'va pucchantassa kathetabbo, <b>akāretvā</b> pucchantassa na kathetabbo. idaṃ vattaṃ ajānitvā pucchanto paṭipadāya na saṇṭhāti nāma."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	""	"5"	"sn46"	""	""	""	"SN46.53"	"aggisuttaṃ"	"yasmiṃ, bhikkhave, samaye līnaṃ cittaṃ hoti, <b>akālo</b> tasmiṃ samaye passaddhisambojjh'aṅgassa bhāvanāya, <b>akālo</b> samādhisambojjh'aṅgassa bhāvanāya, <b>akālo</b> upekkhāsambojjh'aṅgassa bhāvanāya."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"23"	"11"	""	""	""	""	""	""	""	""	""	""	"DN16.27"	"mahāparinibbānasuttaṃ"	"sabbaphāliphullā kho, ānanda, yamakasālā <b>akāla</b>pupphehi. te tathāgatassa sarīraṃ okiranti ajjhokiranti abhippakiranti tathāgatassa pūjāya."	""	""	""	"SN54.9"	"vesālīsuttaṃ"	"seyyathā'pi, bhikkhave, gimhānaṃ pacchime māse ūhataṃ rajojallaṃ, tam'enaṃ mahā-<b>akāla</b>-megho ṭhānaso antaradhāpeti vūpasameti."	""	""	""	""	""	""	""	""	""	""
"169"	""	"19"	""	"pat"	""	""	"VIN PAT NP 3"	"akālacīvarasikkhāpadaṃ"	"niṭṭhitacīvarasmiṃ bhikkhunā ubbhatasmiṃ kathine bhikkhuno pan'eva <b>akālacīvaraṃ</b> uppajjeyya, ākaṅkhamānena bhikkhunā paṭiggahetabbaṃ, paṭiggahetvā khippam'eva kāretabbaṃ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"23"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DN16.27"	"mahāparinibbānasuttaṃ"	"sabbaphāliphullā kho, ānanda, yamakasālā <b>akālapupphehi</b>. te tathāgatassa sarīraṃ okiranti ajjhokiranti abhippakiranti tathāgatassa pūjāya."	""	""	""	""	""	""	""	""	""	""
"175"	""	"19"	""	""	""	""	"AN3.70"	"akusalamūlasuttaṃ"	"evarūpo c'āyaṃ, bhikkhave, puggalo vuccati <b>akālavādī</b>'ti'pi, abhūtavādī'ti'pi, anatthavādī'ti'pi, adhammavādī'ti'pi, avinayavādī'ti'pi."	""	""	""	"AN10.176"	"cundasuttaṃ"	"samphappalāpī hoti <b>akālavādī</b> abhūtavādī anatthavādī adhammavādī avinayavādī, anidhānavatiṃ vācaṃ bhāsitā hoti akālena anapadesaṃ apariyantavatiṃ anatthasaṃhitaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"11"	"11"	"sn35"	""	""	""	"DN16.11"	"mahāparinibbānasuttaṃ"	"dhamme aveccappasādena samannāgato hoti, svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opaneyyiko paccattaṃ veditabbo viññūhī'ti"	"Dhamm'ābhitthuti"	"Homage to the Dhamma"	"Homage to the Triple Gem"	""	""	""	""	""	""	"SN42.11"	"bhadrakasuttaṃ"	"iminā tvaṃ dhammena diṭṭhena viditena <b>akālikena</b> pattena pariyogāḷhena atīt'ānāgate nayaṃ nehi"	""	""	""	""	""	""	""	""	""	"4"
