"id"	"class_anki"	"sbs_class"	"sbs_category"	"sbs_patimokkha"	"sbs_meaning"	"sbs_notes"	"sbs_source_1"	"sbs_sutta_1"	"sbs_example_1"	"sbs_chant_pali_1"	"sbs_chant_eng_1"	"sbs_chapter_1"	"sbs_source_2"	"sbs_sutta_2"	"sbs_example_2"	"sbs_chant_pali_2"	"sbs_chant_eng_2"	"sbs_chapter_2"	"sbs_source_3"	"sbs_sutta_3"	"sbs_example_3"	"sbs_chant_pali_3"	"sbs_chant_eng_3"	"sbs_chapter_3"	"sbs_source_4"	"sbs_sutta_4"	"sbs_example_4"	"sbs_chant_pali_4"	"sbs_chant_eng_4"	"sbs_chapter_4"	"sbs_index"
"65007"	"42"	"11"	""	"pat"	""	""	"KHP9"	"karaṇīya mettasuttaṃ"	"ye keci pāṇabhūt'atthi, tasā vā thāvarā vā anava<b>sesā</b>,
dīghā vā ye mahantā vā, majjhimā rassak'āṇukathūlā."	"Karaṇīya-metta-sutta"	"The Buddha's Words on Loving-Kindness"	"Protective Recitations"	""	""	""	""	""	""	"SN7.9"	"sundarikasuttaṃ"	"seyyathā'pi nāma phālo divasasantatto udake pakkhitto cicciṭāyati ciṭiciṭāyati sandhūpāyati sampadhūpāyati, evam'eva so habya<b>seso</b> udake pakkhitto cicciṭāyati ciṭiciṭāyati sandhūpāyati sampadhūpāyati"	""	""	""	"VIN PAT NP 24"	"vassikasāṭika sikkhāpada"	"māso seso gimhānan'ti bhikkhunā vassikasāṭikacīvaraṃ pariyesitabbaṃ, addhamāso <b>seso</b> gimhānan'ti katvā nivāsetabbaṃ."	""	""	""	"55"
"65009"	""	"9"	""	""	""	""	"SN41.4"	"mahakapāṭihāriyasuttaṃ"	"citto'pi kho gahapati <b>sesakaṃ</b> vissajjethā'ti vatvā there bhikkhū piṭṭhito piṭṭhito anubandhi."	""	""	""	"TH257"	"pārāpariyattheragāthā"	"pāpakānañ'ca dhammānaṃ, kilesānañ'ca yo utu.
upaṭṭhitā vivekāya, ye ca saddhamma<b>sesakā</b>."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65032"	""	"3"	""	""	""	""	"DHP167"	"lokavaggo"	"hīnaṃ dhammaṃ na <b>seveyya</b>,
pamādena na saṃvase,
micchādiṭṭhiṃ na <b>seveyya</b>,
na siyā lokavaḍḍhano."	""	""	""	"ITI76"	"sukhapatthanāsuttaṃ"	"tasmā pattapuṭass'eva,
ñatvā sampākam'attano,
asante n'upaseveyya,
sante <b>seveyya</b> paṇḍito,
asanto nirayaṃ nenti,
santo pāpenti suggatin'ti."	""	""	""	"SNP3"	"khaggavisāṇasuttaṃ
uragavaggo"	"pāpaṃ sahāyaṃ parivajjayetha, anatthadassiṃ visame niviṭṭhaṃ.
sayaṃ na <b>seve</b> pasutaṃ pamattaṃ, eko care khaggavisāṇakappo."	""	""	""	""	""	""	""	""	""	""
"65033"	""	"3"	""	""	""	""	"DHP167"	"lokavaggo"	"hīnaṃ dhammaṃ na <b>seveyya</b>,
pamādena na saṃvase,
micchādiṭṭhiṃ na <b>seveyya</b>,
na siyā lokavaḍḍhano."	""	""	""	"SNP52"	"tuvaṭakasuttaṃ
aṭṭhakavaggo 14"	"āthabbaṇaṃ supinaṃ lakkhaṇaṃ,
no vidahe atho'pi nakkhattaṃ,
virutañ'ca gabbhakaraṇaṃ,
tikicchaṃ māmako na <b>seveyya</b>."	""	""	""	"MN137"	"saḷāyatanavibhaṅgasuttaṃ"	"tayo satipaṭṭhānā yadariyo <b>sevati</b> yadariyo sevamāno satthā gaṇam'anusāsitum'arahati, so vuccati yogg'ācariyānaṃ anuttaro purisadammasārathī'ti"	""	""	""	""	""	""	""	""	""	""
"65040"	""	"7"	""	""	""	""	"SNP16"	"maṅgalasuttaṃ
cūḷavaggo 4"	"asevanā ca bālānaṃ,
paṇḍitānañ'ca <b>sevanā</b>,
pūjā ca pūjanīyānaṃ,
etaṃ maṅgalam'uttamaṃ."	"Maṅgala-sutta"	"The Highest Blessings"	"Protective Recitations"	"AN10.76"	"tayodhammasuttaṃ"	"so avikkhittacitto samāno bhabbo ayonisomanasikāraṃ pahātuṃ kummagga<b>sevanaṃ</b> pahātuṃ cetaso līnattaṃ pahātuṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"53"
"65046"	""	"10"	""	""	""	""	"SN35.95"	"mālukyaputtasuttaṃ"	"yath'āssa passato rūpaṃ,
<b>sevato</b> c'āpi vedanaṃ,
khīyati n'opacīyati,
evaṃ so caratī sato,
evaṃ apacinato dukkhaṃ,
santike nibbānam'uccati."	""	""	""	"MN46"	"mahādhammasamādānasuttaṃ"	"taṃ avidvā avijjāgato yathābhūtaṃ appajānanto taṃ sevati, taṃ na parivajjeti. tassa taṃ <b>sevato</b>, taṃ aparivajjayato, aniṭṭhā akantā amanāpā dhammā abhivaḍḍhanti, iṭṭhā kantā manāpā dhammā parihāyanti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65051"	""	"10"	""	""	""	""	"MN137"	"saḷāyatanavibhaṅgasuttaṃ"	"tatra idaṃ nissāya idaṃ pajahatha, tayo satipaṭṭhānā yadariyo sevati yadariyo <b>sevamāno</b> satthā gaṇam'anusāsitum'arahati, so vuccati yogg'ācariyānaṃ anuttaro purisadammasārathī'ti, ayam'uddeso saḷ'āyatanavibhaṅgassa."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65053"	"20"	"2"	""	""	""	""	""	""	""	""	""	""	"AN10.176"	"cundasuttaṃ"	"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā <b>sevāla</b>mālikā aggiparicārikā udak'orohakā soceyyāni paññapenti, tes'āhaṃ soceyyāni rocemī'ti"	""	""	""	"SN46.55"	"saṅgāravasuttaṃ"	"seyyathā'pi, brāhmaṇa, udapatto <b>sevāla</b>paṇakapariyonaddho. tattha cakkhumā puriso sakaṃ mukhanimittaṃ paccavekkhamāno yathābhūtaṃ na jāneyya na passeyya."	""	""	""	""	""	""	""	""	""	""
"65054"	""	"19"	""	""	""	""	"AN5.162"	"dutiyaāghātapaṭivinayasuttaṃ"	"so taṃ pokkharaṇiṃ ogāhetvā ubhohi hatthehi itic'iti ca <b>sevālapaṇakaṃ</b> apaviyūhitvā añjalinā pivitvā pakkameyya."	""	""	""	"SN46.55"	"saṅgāravasuttaṃ"	"seyyathā'pi, brāhmaṇa, udapatto <b>sevālapaṇaka</b>pariyonaddho. tattha cakkhumā puriso sakaṃ mukhanimittaṃ paccavekkhamāno yathābhūtaṃ na jāneyya na passeyya."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65055"	""	"19"	""	""	""	""	"AN5.162"	"dutiyaāghātapaṭivinayasuttaṃ"	"seyyathā'pi, āvuso, pokkharaṇī <b>sevālapaṇakapariyonaddhā</b>. atha puriso āgaccheyya ghamm'ābhitatto ghammapareto kilanto tasito pipāsito."	""	""	""	"SN46.55"	"saṅgāravasuttaṃ"	"seyyathā'pi, brāhmaṇa, udapatto <b>sevālapaṇakapariyonaddho</b>. tattha cakkhumā puriso sakaṃ mukhanimittaṃ paccavekkhamāno yathābhūtaṃ na jāneyya na passeyya."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
