"id"	"sbs_class"	"sbs_meaning"	"sbs_notes"	"sbs_source_1"	"sbs_sutta_1"	"sbs_example_1"	"sbs_chant_pali_1"	"sbs_chant_eng_1"	"sbs_chapter_1"	"sbs_source_2"	"sbs_sutta_2"	"sbs_example_2"	"sbs_chant_pali_2"	"sbs_chant_eng_2"	"sbs_chapter_2"	"dhp_source"	"dhp_sutta"	"dhp_example"	"pat_source"	"pat_sutta"	"pat_example"	"vib_source"	"vib_sutta"	"vib_example"	"class_source"	"class_sutta"	"class_example"	"class_example_translation"	"class_extra"	"class_anki"	"discourses_source"	"discourses_sutta"	"discourses_example"	"extra_source"	"extra_sutta"	"extra_example"	"sbs_index"
"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" "	""	""	""	""	""	""	""	""
"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP408"	"brāhmaṇavaggo"	"<b>akakkasaṃ</b> viññāpaniṃ,
giraṃ saccam'udīraye,
yāya n'ābhisaje kañci,
tam'ahaṃ brūmi brāhmaṇaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP390"	"brāhmaṇavaggo"	"na brāhmaṇass'etad<b>akiñci</b> seyyo,
yadā nisedho manaso piyehi,
yato yato hiṃsamano nivattati,
tato tato sammati'm'eva dukkhaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN PAT PC 69"	"ukkhittasambhogasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā <b>akaṭ</b>'ānudhammena taṃ diṭṭhiṃ appaṭinissaṭṭhena saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ."	"VIN2.5.7.9"	"ukkhittasambhogasikkhāpadaṃ"	"<b>akaṭ</b>'ānudhammo nāma ukkhitto anosārito."	""	""	""	""	""	""	""	""	""	"VIN2.5.7.9"	"ukkhittasambhogasikkhāpadaṃ"	"<b>akaṭ</b>'ānudhammo nāma ukkhitto anosārito."	""
"18"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN PAT PC 69"	"ukkhittasambhogasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā <b>akaṭ'ānudhammena</b> taṃ diṭṭhiṃ appaṭinissaṭṭhena saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"11"	""	""	"SN2.8"	"tāyanasuttaṃ"	"<b>akataṃ</b> dukkaṭaṃ seyyo,
pacchā tappati dukkaṭaṃ,
katañ'ca sukataṃ seyyo,
yaṃ katvā n'ānutappati."	"Tāyana-gāthā"	"On Protection"	"Verses"	""	""	""	""	""	""	"DHP314"	"nirayavaggo"	"<b>akataṃ</b> dukkaṭaṃ seyyo,
pacchā tappati dukkaṭaṃ,
katañ'ca sukataṃ seyyo,
yaṃ katvā n'ānutappati."	""	""	""	""	""	""	"AN5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akata</b>pubbaṃ, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."	"Here, monks, a king's bull elephant to whichever task the elephant trainer has him perform, whether [it] has been previously done or not previously done, having focused and paid attention on that (task), having concentrated completely with the mind, he listens with applied ear."	"extra"	"18"	""	""	""	"AN5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akata</b>pubbaṃ, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."	"15"
"33"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"UD73"	"tatiya nibbāna paṭisaṃyuttasuttaṃ"	"atthi bhikkhave ajātaṃ abhūtaṃ <b>akataṃ</b> asaṅkhataṃ"	"Monks, there is [something] not born, not become, not made, not constructed/unconditioned."	""	"11"	""	""	""	"UD73"	"tatiya nibbāna paṭisaṃyuttasuttaṃ"	"atthi, bhikkhave, ajātaṃ abhūtaṃ <b>akataṃ</b> asaṅkhataṃ"	""
"34"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP50"	"pupphavaggo"	"na paresaṃ vilomāni,
na paresaṃ kata-<b>akataṃ</b>,
attano'va avekkheyya,
katāni <b>akatāni</b> ca."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN1.4.2.9"	"rūpiyasaṃvohārasikkhāpadaṃ"	"samāpajjeyyā'ti katena kataṃ cetāpeti, nissaggiyaṃ pācittiyaṃ. katena <b>akataṃ</b> cetāpeti, nissaggiyaṃ pācittiyaṃ. katena kata-<b>akataṃ</b> cetāpeti, nissaggiyaṃ pācittiyaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN2.5.6.8"	"dubbaṇṇakaraṇasikkhāpadaṃ"	"navaṃ nāma <b>akatakappaṃ</b> vuccati."	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN2.5.7.6"	"theyyasatthasikkhāpadaṃ"	"theyyasattho nāma corā katakammā vā honti <b>akatakammā</b> vā, rājānaṃ vā theyyaṃ gacchanti suṅkaṃ vā pariharanti."	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP97"	"arahantavaggo"	"assaddho <b>akataññū</b> ca,
sandhicchedo ca yo naro,
hat'āvakāso vant'āso,
sa ve uttamaporiso."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP383"	"brāhmaṇavaggo"	"chinda sotaṃ parakkamma,
kāme panuda brāhmaṇa,
saṅkhārānaṃ khayaṃ ñatvā,
<b>akataññū</b>'si brāhmaṇa."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AN5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akatapubbaṃ</b>, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."	"Here, monks, a king's bull elephant to whichever task the elephant trainer has him perform, whether [it] has been previously done or not previously done, having focused and paid attention on that (task), having concentrated completely with the mind, he listens with applied ear."	"extra"	"18"	""	""	""	"AN5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akatapubbaṃ</b>, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti. evaṃ kho, bhikkhave, rañño nāgo sotā hoti."	""
"64"	"20"	""	""	"PAT PK"	"dhammayuttikapubbakiccaṃ"	"pānīyaparibhojanīya-upaṭṭhapanañ'ca, chand'ārahānaṃ bhikkhūnaṃ chand'āharaṇañ'ca, tesaññ'eva <b>akat'uposathānaṃ</b> pārisuddhiyā'pi āharaṇañ'ca"	"Pubbakicca"	"Preliminary duty"	"International Pātimokkha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"75"
"67"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN2.5.3.9"	"paripācitasikkhāpadaṃ"	"paripāceti nāma pubbe adātu'kāmānaṃ <b>akattu'kāmānaṃ</b>, ayyo bhāṇako, ayyo bahussuto, ayyo suttantiko, ayyo vinayadharo, ayyo dhammakathiko, detha ayyassa, karotha ayyassā'ti esā paripāceti nāma."	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"19"	""	""	"MN107"	"gaṇakamoggallānasuttaṃ"	"vicikicchaṃ pahāya tiṇṇavicikiccho viharati <b>akathaṃkathī</b> kusalesu dhammesu, vicikicchāya cittaṃ parisodhesiṃ."	"Anupubba-sikkhā"	"The Gradual Training"	"Teachings"	""	""	""	""	""	""	"DHP411"	"brāhmaṇavaggo"	"yass'ālayā na vijjanti,
aññāya <b>akathaṃkathī</b>,
amat'ogadham'anuppattaṃ,
tam'ahaṃ brūmi brāhmaṇaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	"MN107"	"gaṇakamoggallānasuttaṃ"	"vicikicchaṃ pahāya tiṇṇavicikiccho vihāsiṃ <b>akathaṃkathī</b> kusalesu dhammesu, vicikicchāya cittaṃ parisodhesiṃ."	"DHP411"	"brāhmaṇavaggo"	"yass'ālayā na vijjanti,
aññāya <b>akathaṃkathī</b>,
amat'ogadham'anuppattaṃ,
tam'ahaṃ brūmi brāhmaṇaṃ."	"19"
"79"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SN46.3"	"sīlasuttaṃ"	"no ce pañcannaṃ oram'bhāgiyānaṃ saṃyojanānaṃ parikkhayā sasaṅkhāraparinibbāyī hoti, atha pañcannaṃ oram'bhāgiyānaṃ saṃyojanānaṃ parikkhayā uddhaṃsoto hoti <b>akaniṭṭha</b>gāmī."	""	""	""	""
"82"	"11"	""	""	"Trad"	""	"yan'dunnimittaṃ avamaṅgalañ'ca, yo c'āmanāpo sakuṇassa saddo, pāpaggaho dussupinaṃ <b>akantaṃ</b>, buddh'ānubhāvena vināsam'entu"	"Abhaya-parittaṃ"	"Protection for Safety"	"Protective Recitations"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DN22.15"	"mahāsatipaṭṭhānasuttaṃ"	"idha yassa te honti aniṭṭhā <b>akantā</b> amanāpā rūpā saddā gandhā rasā phoṭṭhabbā dhammā, ye vā pan'assa te honti anatthakāmā ahitakāmā aphāsukakāmā ayogakkhemakāmā"	"60"
"88"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN2.5.6.8"	"dubbaṇṇakaraṇasikkhāpadaṃ"	"anāpatti, ādiyitvā paribhuñjati, kappo naṭṭho hoti, kappakat'okāso jiṇṇo hoti, kappakatena <b>akappakataṃ</b> saṃsibbitaṃ hoti, aggaḷe anuvāte paribhaṇḍe, ummattakassa, ādikammikassā'ti."	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN1.1.2"	"dutiyapārājikaṃ"	"vigarahi buddho bhagavā, ananucchavikaṃ, moghapurisa, ananulomikaṃ appatirūpaṃ assāmaṇakaṃ <b>akappiyaṃ</b> akaraṇīyaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN2.5.4.5"	"paṭhamapavāraṇāsikkhāpadaṃ"	"anatirittaṃ nāma <b>akappiyakataṃ</b> hoti, appaṭiggahitakataṃ hoti, anuccāritakataṃ hoti, ahatthapāse kataṃ hoti, abhuttāvinā kataṃ hoti, bhuttāvinā pavāritena āsanā vuṭṭhitena kataṃ hoti"	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AN3.125"	"bhaṇḍanasuttaṃ"	"imasmiñca pana veyyākaraṇasmiṃ bhaññamāne sahassī lokadhātu <b>akampi</b>tthāti."	"""And when this explanation was being spoken, the one-thousand-world system shook."""	""	"19"	""	""	""	"AN3.126"	"gotamakacetiyasuttaṃ"	"idam'avoca bhagavā. attamanā te bhikkhū bhagavato bhāsitaṃ abhinandun'ti. imasmiñ'ca pana veyyākaraṇasmiṃ bhaññamāne sahassī lokadhātu <b>akampitthā</b>'ti."	""
"109"	"11"	""	""	"MN48"	"kosambiyasuttaṃ"	"bhikkhu yāni tāni sīlāni akhaṇḍāni acchiddāni asabalāni <b>akammāsāni</b> bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhisaṃvattanikāni."	"Cha-sāraṇīya-dhammā"	"Principles of Cordiality"	"Teachings"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MN48 (simpl)"	"kosambiyasuttaṃ"	"yāni tāni sīlāni akhaṇḍāni acchiddāni asabalāni <b>akammāsāni</b> bhujissāni viññūhi pasatthāni aparāmaṭṭhāni samādhino saṃvattanikāni"	"Whichever [of] those virtues, which are unbroken, without cracks, not mottled, unblemished, liberating, commended by wise persons, irreproachable and conducive for stability of mind"	""	"11"	"SN12.41"	"pañcaverabhayasuttaṃ"	"ariyakantehi sīlehi samannāgato hoti akhaṇḍehi acchiddehi asabalehi <b>akammāsehi</b> bhujissehi viññuppasatthehi aparāmaṭṭhehi samādhisaṃvattanikehi."	"MN48"	"kosambiyasuttaṃ"	"bhikkhu yāni tāni sīlāni akhaṇḍāni acchiddāni asabalāni <b>akammāsāni</b> bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhisaṃvattanikāni."	"27"
"112"	"9"	""	""	"DHP183"	"buddhavaggo"	"sabbapāpassa <b>akaraṇaṃ</b>,
kusalass'upasampadā,
sacittapariyodapanaṃ,
etaṃ buddhāna sāsanaṃ."	"Ovāda-pāṭimokkha-gāthā"	"The Pāṭimokkha Exhortation"	"Verses"	""	""	""	""	""	""	"DHP333"	"nāgavaggo"	"sukhaṃ yāva jarā sīlaṃ,
sukhā saddhā patiṭṭhitā,
sukho paññāya paṭilābho,
pāpānaṃ <b>akaraṇaṃ</b> sukhaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP333"	"nāgavaggo"	"sukhaṃ yāva jarā sīlaṃ,
sukhā saddhā patiṭṭhitā,
sukho paññāya paṭilābho,
pāpānaṃ <b>akaraṇaṃ</b> sukhaṃ."	"10"
"118"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SN56.44"	"kūṭāgārasuttaṃ"	"seyyathā'pi, bhikkhave, yo evaṃ vadeyya, ahaṃ kūṭ'āgārassa heṭṭhimaṃ gharaṃ <b>akaritvā</b> uparimaṃ gharaṃ āropessāmī'ti, n'etaṃ ṭhānaṃ vijjati."	""	""	""	""
"131"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN1.1.2"	"dutiyapārājikaṃ, vinītavatthu"	"atha kho so puriso suṅkaṭṭhānaṃ atikkamitvā taṃ bhikkhuṃ etadavoca, āhara me, bhante, bhaṇḍikaṃ, n'āhaṃ <b>akallako</b>'ti. kissa pana tvaṃ, āvuso, evarūpaṃ akāsī'ti?"	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SNP50"	"cūḷabyūhasuttaṃ
aṭṭhakavaggo 12"	"na v'āham'etaṃ tathiyan'ti brūmi,
yam'āhu bālā mithu aññam'aññaṃ,
sakaṃ sakaṃ diṭṭhim'<b>akaṃsu</b> saccaṃ,
tasmā hi bālo'ti paraṃ dahanti."	""
"147"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DN4.3"	"soṇadaṇḍasuttaṃ"	"samaṇo khalu, bho, gotamo <b>akāmakānaṃ</b> mātāpitūnaṃ assumukhānaṃ rudantānaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni acchādetvā agārasmā anagāriyaṃ pabbajito"	""
"149"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN PAT SA"	"saṅghādisesuddeso"	"yesaṃ bhikkhu aññataraṃ vā aññataraṃ vā āpajjitvā yāvat'īhaṃ jānaṃ paṭicchādeti, tāvat'īhaṃ tena bhikkhunā <b>akāmā</b> parivatthabbaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MN65"	"bhaddālisuttaṃ"	"tassa mukh'ādhāne kāraṇaṃ kāriyamānassa honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ <b>akārita</b>pubbaṃ kāraṇaṃ kāriyamānassa."	"While [the colt] is being made to do a task with the bit, there are just twistings, tricks, and vacillations in whichever way, [because] it is being made to do that task not previously done before."	"extra"	"24"	""	""	""	"MN65"	"bhaddālisuttaṃ"	"tassa mukh'ādhāne kāraṇaṃ kāriyamānassa honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ <b>akārita</b>pubbaṃ kāraṇaṃ kāriyamānassa."	""
"162"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MN65"	"bhaddālisuttaṃ"	"tassa mukh'ādhāne kāraṇaṃ kāriyamānassa honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ <b>akāritapubbaṃ</b> kāraṇaṃ kāriyamānassa."	"While [the colt] is being made to do a task with the bit, there are just twistings, tricks, and vacillations in whichever way, [because] it is being made to do that task not previously done before."	"extra"	"24"	""	""	""	"MN65"	"bhaddālisuttaṃ"	"tassa mukh'ādhāne kāraṇaṃ kāriyamānassa honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ <b>akāritapubbaṃ</b> kāraṇaṃ kāriyamānassa."	""
"163"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP176"	"lokavaggo"	"ekaṃ dhammaṃ atītassa,
musāvādissa jantuno,
vitiṇṇaparalokassa,
n'atthi pāpaṃ <b>akāriyaṃ</b>."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SN46.53"	"aggisuttaṃ"	"yasmiṃ, bhikkhave, samaye līnaṃ cittaṃ hoti, <b>akālo</b> tasmiṃ samaye passaddhisambojjh'aṅgassa bhāvanāya, <b>akālo</b> samādhisambojjh'aṅgassa bhāvanāya, <b>akālo</b> upekkhāsambojjh'aṅgassa bhāvanāya."	""	""	""	""
"167"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PAT"	""	""	""	""	""	"DN16.27"	"mahāparinibbānasuttaṃ"	"sabbaphāliphullā kho, ānanda, yamakasālā <b>akāla</b>pupphehi. te tathāgatassa sarīraṃ okiranti ajjhokiranti abhippakiranti tathāgatassa pūjāya."	"Ananda, this pair of Sal tress is in full blossom with out of season flowers. They rain down, scatter down, completely cover the body of the Tathagata, in worship of the Tathagata."	""	"23"	""	""	""	"SN54.9"	"vesālīsuttaṃ"	"seyyathā'pi, bhikkhave, gimhānaṃ pacchime māse ūhataṃ rajojallaṃ, tam'enaṃ mahā-<b>akāla</b>-megho ṭhānaso antaradhāpeti vūpasameti."	""
"169"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN PAT NP 3"	"akālacīvarasikkhāpadaṃ"	"niṭṭhitacīvarasmiṃ bhikkhunā ubbhatasmiṃ kathine bhikkhuno pan'eva <b>akālacīvaraṃ</b> uppajjeyya, ākaṅkhamānena bhikkhunā paṭiggahetabbaṃ, paṭiggahetvā khippam'eva kāretabbaṃ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DN16.27"	"mahāparinibbānasuttaṃ"	"sabbaphāliphullā kho, ānanda, yamakasālā <b>akālapupphehi</b>. te tathāgatassa sarīraṃ okiranti ajjhokiranti abhippakiranti tathāgatassa pūjāya."	"Ananda, this pair of Sal tress is in full blossom with out of season flowers. They rain down, scatter down, completely cover the body of the Tathagata, in worship of the Tathagata."	""	"23"	""	""	""	"DN16.27"	"mahāparinibbānasuttaṃ"	"sabbaphāliphullā kho, ānanda, yamakasālā <b>akālapupphehi</b>. te tathāgatassa sarīraṃ okiranti ajjhokiranti abhippakiranti tathāgatassa pūjāya."	""
"175"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"11"	""	""	"SN12.41"	"pañcaverabhayasuttaṃ"	"svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opaneyyiko paccattaṃ veditabbo viññūhi"	"Dhamm'ābhitthuti"	"Homage to the Dhamma"	"Homage to the Triple Gem"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SN11.3"	"dhajaggasuttaṃ"	"svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opanayiko paccattaṃ veditabbo viññūhi"	"The teaching by the Blessed One [is] well taught, directly visible, timeless, inviting one to come and see, practical, [and is] to be understood individually by wise persons."	""	"11"	"SN12.41"	"pañcaverabhayasuttaṃ"	"svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opaneyyiko paccattaṃ veditabbo viññūhi"	"SN42.11"	"bhadrakasuttaṃ"	"iminā tvaṃ dhammena diṭṭhena viditena <b>akālikena</b> pattena pariyogāḷhena atīt'ānāgate nayaṃ nehi"	"4"
"177"	"11"	""	""	"SN12.41"	"pañcaverabhayasuttaṃ"	"svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opaneyyiko paccattaṃ veditabbo viññūhi"	"Dhamm'ābhitthuti"	"Homage to the Dhamma"	"Homage to the Triple Gem"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SN11.3"	"dhajaggasuttaṃ"	"svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opanayiko paccattaṃ veditabbo viññūhi"	"The teaching by the Blessed One [is] well taught, directly visible, timeless, inviting one to come and see, practical, [and is] to be understood individually by wise persons."	""	"11"	"SN12.41"	"pañcaverabhayasuttaṃ"	"svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opaneyyiko paccattaṃ veditabbo viññūhi"	"AN4.195"	"vappasuttaṃ"	"so navañ'ca kammaṃ na karoti, purāṇañ'ca kammaṃ phussa phussa byantīkaroti, sandiṭṭhikā nijjarā <b>akālikā</b> ehipassikā opaneyyikā paccattaṃ veditabbā viññūhi."	"4"
"181"	"4"	""	""	"KHP7"	"tirokuṭṭasuttaṃ"	"adāsi me <b>akāsi</b> me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam'anussaraṃ."	"Adāsi-me-ādi-gāthā"	"Verses Starting with ""He Gave to Me"""	"Funeral Chants"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"KHP7"	"tirokuṭṭasuttaṃ"	"adāsi me <b>akāsi</b> me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam'anussaraṃ."	"""He gave to me, he did for me, they [were] my family, friends, and companions"", one should give a donation to the departed, remembering what was done before (by them)."	"extra"	"22"	""	""	""	"MN61"	"ambalaṭṭhika rāhulovādasuttaṃ"	"katvā'pi te, rāhula, kāyena kammaṃ tadeva te kāyakammaṃ paccavekkhitabbaṃ, yaṃ nu kho ahaṃ idaṃ kāyena kammaṃ <b>akāsiṃ</b> idaṃ me kāyakammaṃ attabyābādhāya'pi saṃvattati"	"68"
"182"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN PAT SA 12"	"dubbacasikkhāpadaṃ"	"m'āyasmā attānaṃ avacanīyaṃ <b>akāsi</b>, vacanīyam'ev'āyasmā attānaṃ karotu, āyasmā'pi bhikkhū vadetu sahadhammena, bhikkhū'pi āyasmantaṃ vakkhanti sahadhammena"	""	""	""	"MN2.8"	"sabbāsavasuttaṃ"	"ayaṃ vuccati, bhikkhave, bhikkhu sabb'āsavasaṃvarasaṃvuto viharati, acchejji taṇhaṃ, vivattayi saṃyojanaṃ, sammā mān'ābhisamayā antam'<b>akāsi</b> dukkhassā'ti"	"Monks, this one is called, ""A monk who dwells restrained with regard to all the taints, [who] completely cut out craving, untied the fetter[s], [and] by means of a thorough comprehension of conceit (thoroughly comprehending conceit), made an end of suffering."""	"extra"	"14"	""	""	""	"MN25"	"nivāpasuttaṃ"	"idha, bhikkhave, bhikkhu vivicc'eva kāmehi vivicca akusalehi dhammehi savitakkaṃ savicāraṃ vivekajaṃ pītisukhaṃ paṭhamaṃ jhānaṃ upasampajja viharati. ayaṃ vuccati, bhikkhave, bhikkhu andham'<b>akāsi</b> māraṃ, apadaṃ vadhitvā māracakkhuṃ adassanaṃ gato pāpimato."	""
"186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP293"	"pakiṇṇakavaggo"	"yesañ'ca susamāraddhā,
niccaṃ kāyagatā sati,
<b>akiccaṃ</b> te na sevanti,
kicce sātaccakārino,
satānaṃ sampajānānaṃ,
atthaṃ gacchanti āsavā."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
