"id"	"sbs_class"	"sbs_meaning"	"sbs_notes"	"sbs_source_1"	"sbs_sutta_1"	"sbs_example_1"	"sbs_chant_pali_1"	"sbs_chant_eng_1"	"sbs_chapter_1"	"sbs_source_2"	"sbs_sutta_2"	"sbs_example_2"	"sbs_chant_pali_2"	"sbs_chant_eng_2"	"sbs_chapter_2"	"dhp_source"	"dhp_sutta"	"dhp_example"	"pat_source"	"pat_sutta"	"pat_example"	"vib_source"	"vib_sutta"	"vib_example"	"class_source"	"class_sutta"	"class_example"	"class_example_translation"	"class_extra"	"class_anki"	"discourses_source"	"discourses_sutta"	"discourses_example"	"extra_source"	"extra_sutta"	"extra_example"	"sbs_index"
"32851"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN1.2.6"	"kuṭikārasikkhāpadaṃ"	"ñattidutiyena kammena kuṭivatthuṃ na desāpetvā, āyāmato vā vitthārato vā antamaso kes'aggamattam'pi atikkāmetvā karoti vā kārāpeti vā, payoge payoge <b>dukkaṭaṃ</b>."	""	""	""	""	""	"1"	""	""	""	""	""	""	""
"32863"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP163"	"attavaggo"	"sukarāni asādhūni, attano ahitāni ca,
yaṃ ve hitañ'ca sādhuñ'ca, taṃ ve parama<b>dukkaraṃ</b>."	""	""	""	""	""	""	"SNP37"	"nālakasuttaṃ
mahāvaggo 11"	"moneyyaṃ te upaññissaṃ, <b>dukkaraṃ</b> durabhisambhavaṃ, handa te naṃ pavakkhāmi, santhambhassu daḷho bhava."	"I myself will explain sagehood to you, hard to achieve, hard to attain . Come, I will tell you [about] it, Stand yourself firm, you must be strong/steady."	""	"22"	""	""	""	"DHP163"	"attavaggo"	"sukarāni asādhūni, attano ahitāni ca,
yaṃ ve hitañ'ca sādhuñ'ca, taṃ ve parama<b>dukkaraṃ</b>."	""
"32875"	"11"	""	""	"DHP153"	"jarāvaggo"	"anekajātisaṃsāraṃ,
sandhāvissaṃ anibbisaṃ,
gahakāraṃ gavesanto,
<b>dukkhā</b> jāti punappunaṃ."	"Buddha-paṭhama-bhāsita"	"The Buddha's First Exclamation"	"Verses"	"SN22.59"	"anattalakkhaṇasuttaṃ"	"yaṃ pan'āniccaṃ <b>dukkhaṃ</b> vipariṇāmadhammaṃ, kallaṃ nu taṃ samanupassituṃ, etaṃ mama, eso'ham'asmi, eso me attā'ti? no h'etaṃ, bhante."	"Anatta-lakkhaṇa-sutta"	"The Discourse on the Characteristic of Not-Self"	"Cardinal Suttas"	"DHP153"	"jarāvaggo"	"anekajātisaṃsāraṃ,
sandhāvissaṃ anibbisaṃ,
gahakārakaṃ gavesanto,
<b>dukkhā</b> jāti punappunaṃ."	""	""	""	""	""	""	"SN22.59"	"anattalakkhaṇasuttaṃ"	"yaṃ pan'āniccaṃ <b>dukkhaṃ</b> vipariṇāma-dhammaṃ, kallaṃ nu taṃ samanupassituṃ, etaṃ mama, eso'ham'asmi, eso me attā'ti?"	"Whatever is impermanent, unsatisfactory, subject to change. Is it suitable to regard that [as], ""this is mine, I am this, this is my self""?"	""	"16"	"SN22.59"	"anattalakkhaṇasuttaṃ"	"yaṃ pan'āniccaṃ <b>dukkhaṃ</b> vipariṇāmadhammaṃ, kallaṃ nu taṃ samanupassituṃ, etaṃ mama, eso'ham'asmi, eso me attā'ti? no h'etaṃ, bhante."	""	""	""	"7"
"32876"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MN74"	"dīghanakhasuttaṃ"	"n'eva tasmiṃ samaye <b>dukkhaṃ</b> vedanaṃ vedeti, na adukkham'asukhaṃ vedanaṃ vedeti"	"At that time, he feels neither a painful sensation nor a neutral sensation. "	""	"5"	""	""	""	"MN130"	"devadūtasuttaṃ"	"so tattha <b>dukkhā</b> tibbā kharā kaṭukā vedanā vedeti, na ca tāva kālaṅ'karoti yāva na taṃ pāpakammaṃ byantīhoti."	""
"32877"	"9"	""	""	""	""	""	""	""	""	"SN45.8"	"vibhaṅgasuttaṃ"	"yaṃ kho bhikkhave <b>dukkhe</b> ñāṇaṃ, <b>dukkha</b>samudaye ñāṇaṃ, <b>dukkha</b>nirodhe ñāṇaṃ, <b>dukkha</b>nirodhagāminiyā paṭipadāya ñāṇaṃ, ayaṃ vuccati bhikkhave sammādiṭṭhi."	"Ariy'aṭṭhaṅgika-magga"	"The Noble Eightfold Path"	"Teachings"	"DHP277"	"maggavaggo"	"sabbe saṅkhārā aniccā'ti,
yadā paññāya passati,
atha nibbindati <b>dukkhe</b>,
esa maggo visuddhiyā."	""	""	""	""	""	""	"MN39"	"mahāassapurasuttaṃ"	"so idaṃ <b>dukkhan</b>'ti yathābhūtaṃ pajānāti"	"He knows clearly ""this is suffering"" as it truly is."	""	"3"	""	""	""	"DHP277"	"maggavaggo"	"sabbe saṅkhārā aniccā'ti,
yadā paññāya passati,
atha nibbindati <b>dukkhe</b>,
esa maggo visuddhiyā."	"22"
"32878"	"9"	""	""	"SN45.8"	"vibhaṅgasuttaṃ"	"sukhassa ca pahānā <b>dukkhassa</b> ca pahānā, pubb'eva somanassadomanassānaṃ atthaṅ'gamā, adukkham'asukhaṃ upekkhāsatipārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati."	"Ariy'aṭṭhaṅgika-magga"	"The Noble Eightfold Path"	"Teachings"	"SN35.28"	"ādittasuttaṃ"	"kena ādittaṃ? ādittaṃ rāg'agginā, dos'agginā, moh'agginā ādittaṃ, jātiyā jarāya maraṇena sokehi paridevehi <b>dukkhehi</b> domanassehi upāyāsehi ādittan'ti vadāmi"	"Āditta-pariyāya-sutta"	"The Fire Sermon"	"Cardinal Suttas"	""	""	""	""	""	""	""	""	""	"SN35.28"	"ādittasuttaṃ"	"sokehi paridevehi <b>dukkhehi</b> domanassehi upāyāsehi"	"(burning) with griefs, lamentations, pains, distresses, afflictions"	""	"2"	"SN45.8"	"vibhaṅgasuttaṃ"	"sukhassa ca pahānā <b>dukkhassa</b> ca pahānā, pubb'eva somanassadomanassānaṃ atthaṅ'gamā, adukkham'asukhaṃ upekkhāsatipārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati."	"MN10.16"	"mahāsatipaṭṭhānasuttaṃ, dukkhasaccaniddeso"	"katamañca, bhikkhave, <b>dukkhaṃ</b>? yaṃ kho, bhikkhave, kāyikaṃ <b>dukkhaṃ</b> kāyikaṃ asātaṃ kāyasamphassajaṃ <b>dukkhaṃ</b> asātaṃ vedayitaṃ, idaṃ vuccati, bhikkhave, <b>dukkhaṃ</b>."	"22"
"32880"	"19"	""	""	"SN22.80"	"piṇḍolyasuttaṃ"	"app'evanām'imassa kevalassa <b>dukkhakkhandhassa</b> antakiriyā paññāyethā'ti."	"Ratanattaya-paṇāma"	"Salutation to the Triple Gem"	"Homage to the Triple Gem"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MN79"	"cūḷasakuludāyisuttaṃ"	"appevanām'imassa kevalassa <b>dukkhakkhandhassa</b> antakiriyā paññāyethā'ti"	"""If only the ending of this whole mass of suffering would be apparent. (lit. make itself known)"""	""	"21"	"SN56.49"	"paṭhamasinerupabbatarājasuttaṃ"	"saṅkham'pi na upeti, upanidham'pi na upeti, kalabhāgam'pi na upeti, purimaṃ <b>dukkhakkhandhaṃ</b> parikkhīṇaṃ pariyādinnaṃ upanidhāya yadidaṃ sattakkhattuparamatā"	"SN56.49"	"paṭhamasinerupabbatarājasuttaṃ"	"saṅkham'pi na upeti, upanidham'pi na upeti, kalabhāgam'pi na upeti, purimaṃ <b>dukkhakkhandhaṃ</b> parikkhīṇaṃ pariyādinnaṃ upanidhāya yadidaṃ sattakkhattuparamatā"	"6"
"32881"	"19"	""	""	"MN48"	"kosambiyasuttaṃ"	"bhikkhu y'āyaṃ diṭṭhi ariyā niyyānikā niyyāti takkarassa sammā <b>dukkhakkhayāya</b> tathārūpāya diṭṭhiyā diṭṭhisāmaññagato viharati sabrahmacārīhi āvi c'eva raho ca"	"Cha-sāraṇīya-dhammā"	"Principles of Cordiality"	"Teachings"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SN22.96"	"gomayapiṇḍasuttaṃ"	"ettako cepi, bhikkhu, attabhāvapaṭilābho abhavissa nicco dhuvo sassato avipariṇāmadhammo, na'y'idaṃ brahmacariyavāso paññāyetha sammā <b>dukkhakkhayāya</b>."	"Monk, even if there were this much personal existence that is stable, permanent, eternal, with an unchanging nature, living this holy life for the complete destruction of suffering would not be evident."	""	"22"	"SN22.96"	"gomayapiṇḍasuttaṃ"	"ettako ce'pi, bhikkhu, attabhāvapaṭilābho abhavissa nicco dhuvo sassato avipariṇāmadhammo, na'y'idaṃ brahmacariyavāso paññāyetha sammā <b>dukkhakkhayāya</b>."	"SN22.96"	"gomayapiṇḍasuttaṃ"	"ettako ce'pi, bhikkhu, attabhāvapaṭilābho abhavissa nicco dhuvo sassato avipariṇāmadhammo, na'y'idaṃ brahmacariyavāso paññāyetha sammā <b>dukkhakkhayāya</b>."	"27"
"32888"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SN12.66"	"sammasasuttaṃ"	"samaṇā vā brāhmaṇā vā yaṃ loke piyarūpaṃ sātarūpaṃ taṃ aniccato dakkhissanti <b>dukkhato</b> dakkhissanti anattato dakkhissanti rogato dakkhissanti bhayato dakkhissanti, te taṇhaṃ pajahissanti."	"Ascetics or priests, whatever in the world is agreeable and pleasant, they will see that as impermanent, as painful, as not-self, as a disease, as fearful, they will abandon craving."	""	"11"	"SN12.66"	"sammasasuttaṃ"	"ye'pi hi keci, bhikkhave, anāgatam'addhānaṃ samaṇā vā brāhmaṇā vā yaṃ loke piyarūpaṃ sātarūpaṃ taṃ aniccato dakkhissanti <b>dukkhato</b> dakkhissanti anattato dakkhissanti rogato dakkhissanti bhayato dakkhissanti, te taṇhaṃ pajahissanti."	"AN4.49"	"vipallāsasuttaṃ"	"aniccaṃ aniccato dakkhuṃ, dukkham'addakkhu <b>dukkhato</b>.
anattani anattā'ti, asubhaṃ asubhat'addasuṃ.
sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ upaccagun'ti"	""
"32892"	"19"	""	""	"SN12.2"	"vibhaṅgasuttaṃ"	"vedanāpaccayā taṇhā, taṇhāpaccayā upādānaṃ, upādānapaccayā bhavo, bhavapaccayā jāti, jātipaccayā jarāmaraṇaṃ sokaparideva<b>dukkhadomanass</b>'upāyāsā sambhavanti."	"Paṭicca-samuppāda"	"Dependent Origination"	"Teachings"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SN47.1"	"ambapālisuttaṃ"	"ek'āyano ayaṃ, bhikkhave, maggo sattānaṃ visuddhiyā sokaparidevānaṃ samatikkamāya <b>dukkhadomanassānaṃ</b> atthaṅ'gamāya ñāyassa adhigamāya nibbānassa sacchikiriyāya, yadidaṃ, cattāro satipaṭṭhānā."	"DN22.1"	"mahāsatipaṭṭhānasuttaṃ"	"ek'āyano ayaṃ, bhikkhave, maggo sattānaṃ visuddhiyā sokaparidevānaṃ samatikkamāya <b>dukkhadomanassānaṃ</b> atthaṅ'gamāya ñāyassa adhigamāya nibbānassa sacchikiriyāya yadidaṃ cattāro satipaṭṭhānā"	"24"
"32893"	"19"	""	""	"VIBH6.1"	"paṭiccasamuppādavibhaṅgo"	"tattha katamo soko? … aññatar'aññatarena byasanena samannāgatassa aññatar'aññatarena <b>dukkhadhammena</b> phuṭṭhassa soko socanā socitattaṃ antosoko antoparisoko ... ayaṃ vuccati soko"	"Paṭicca-samuppāda"	"Dependent Origination"	"Teachings"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ITI43"	"ajātasuttaṃ"	"ajātaṃ asamuppannaṃ,
asokaṃ virajaṃ padaṃ,
nirodho <b>dukkhadhammānaṃ</b>,
saṅkhār'ūpasamo sukho'ti."	"24"
