id,pali,selected_pali_word,class_source,extra,class_example,english_translation,Class
13969,īsī,,,,,,
24818,gāmī 1,,AN 4.45,,"api cāhaṃ, āvuso, imasmiṃyeva byāmamatte kaḷebare sasaññimhi samanake lokañca paññāpemi lokasamudayañca lokanirodhañca lokanirodha<b>gāminiñ</b>ca paṭipadan'ti.","I also declare, friends, in this very fathom length body with its perception and intelligence (is) the world, the source of the world, the end of the world, and the path of practice leading to the end of the world. ",C17
58346,santhā,,AN4.198,,"so navaṃ <b>santh</b>'āgāraṃ pavisati, saddhiṃ mahesiyā brāhmaṇena ca purohitena.",He enters the new meeting hall together with the royal consort and the chief brahmin priest.,
58347,santhāgāra,santh'āgāraṃ,AN4.198,,"so navaṃ <b>santh'āgāraṃ</b> pavisati, saddhiṃ mahesiyā brāhmaṇena ca purohitena.",He enters the new meeting hall together with the royal consort and the chief brahmin priest.,
52093,mahesī 1.1,mahesiyā,AN4.198,,"so navaṃ santh'āgāraṃ pavisati, saddhiṃ <b>mahesiyā</b> brāhmaṇena ca purohitena.",He enters the new meeting hall together with the royal consort and the chief brahmin priest.,
47125,puro,,AN4.198,,"so navaṃ santh'āgāraṃ pavisati, saddhiṃ mahesiyā brāhmaṇena ca <b>puro</b>hitena.",He enters the new meeting hall together with the royal consort and the chief brahmin priest.,
47126,purohita,purohitena,AN4.198,,"so navaṃ santh'āgāraṃ pavisati, saddhiṃ mahesiyā brāhmaṇena ca <b>purohitena</b>.",He enters the new meeting hall together with the royal consort and the chief brahmin priest.,
78618,hita 4,,AN4.198,,"so navaṃ santh'āgāraṃ pavisati, saddhiṃ mahesiyā brāhmaṇena ca puro<b>hitena</b>.",He enters the new meeting hall together with the royal consort and the chief brahmin priest.,
41719,pati 2.1,,AN4.61,,"idha, gaha<b>pati</b>, ariyasāvako vigatamalamaccherena cetasā agāraṃ ajjhāvasati muttacāgo payatapāṇi vossaggarato yācayogo dānasaṃvibhāgarato. ayaṃ vuccati, gahapati, cāgasampadā.","Here, householder, the master of the house [who is] a noble disciple lives the household life with a mind free from the stain of stinginess, giving freely, open-handed, delighting in generosity, ready to give to beggars, and who delights in sharing gifts. This, householder, is called the attainment of generosity.",
67308,vigata 2,,AN4.61,,"idha, gahapati, ariyasāvako <b>vigata</b>malamaccherena cetasā agāraṃ ajjhāvasati muttacāgo payatapāṇi vossaggarato yācayogo dānasaṃvibhāgarato. ayaṃ vuccati, gahapati, cāgasampadā.","Here, householder, the master of the house [who is] a noble disciple lives the household life with a mind free from the stain of stinginess, giving freely, open-handed, delighting in generosity, ready to give to beggars, and who delights in sharing gifts. This, householder, is called the attainment of generosity.",
67336,vigatamalamacchera,vigatamalamaccherena,AN4.61,,"idha, gahapati, ariyasāvako <b>vigatamalamaccherena</b> cetasā agāraṃ ajjhāvasati muttacāgo payatapāṇi vossaggarato yācayogo dānasaṃvibhāgarato. ayaṃ vuccati, gahapati, cāgasampadā.","Here, householder, the master of the house [who is] a noble disciple lives the household life with a mind free from the stain of stinginess, giving freely, open-handed, delighting in generosity, ready to give to beggars, and who delights in sharing gifts. This, householder, is called the attainment of generosity.",
51507,mala 1,,AN4.61,,"idha, gahapati, ariyasāvako vigata<b>mala</b>maccherena cetasā agāraṃ ajjhāvasati muttacāgo payatapāṇi vossaggarato yācayogo dānasaṃvibhāgarato. ayaṃ vuccati, gahapati, cāgasampadā.","Here, householder, the master of the house [who is] a noble disciple lives the household life with a mind free from the stain of stinginess, giving freely, open-handed, delighting in generosity, ready to give to beggars, and who delights in sharing gifts. This, householder, is called the attainment of generosity.",
50684,macchera,maccherena,AN4.61,,"idha, gahapati, ariyasāvako vigatamala<b>maccherena</b> cetasā agāraṃ ajjhāvasati muttacāgo payatapāṇi vossaggarato yācayogo dānasaṃvibhāgarato. ayaṃ vuccati, gahapati, cāgasampadā.","Here, householder, the master of the house [who is] a noble disciple lives the household life with a mind free from the stain of stinginess, giving freely, open-handed, delighting in generosity, ready to give to beggars, and who delights in sharing gifts. This, householder, is called the attainment of generosity.",
1360,ajjhāvasati 1,ajjhāvasati,AN4.61,,"idha, gahapati, ariyasāvako vigatamalamaccherena cetasā agāraṃ <b>ajjhāvasati</b> muttacāgo payatapāṇi vossaggarato yācayogo dānasaṃvibhāgarato. ayaṃ vuccati, gahapati, cāgasampadā.","Here, householder, the master of the house [who is] a noble disciple lives the household life with a mind free from the stain of stinginess, giving freely, open-handed, delighting in generosity, ready to give to beggars, and who delights in sharing gifts. This, householder, is called the attainment of generosity.",
52919,mutta 2.1,,AN4.61,,"idha, gahapati, ariyasāvako vigatamalamaccherena cetasā agāraṃ ajjhāvasati <b>mutta</b>cāgo payatapāṇi vossaggarato yācayogo dānasaṃvibhāgarato. ayaṃ vuccati, gahapati, cāgasampadā.","Here, householder, the master of the house [who is] a noble disciple lives the household life with a mind free from the stain of stinginess, giving freely, open-handed, delighting in generosity, ready to give to beggars, and who delights in sharing gifts. This, householder, is called the attainment of generosity.",
52927,muttacāga,muttacāgo,AN4.61,,"idha, gahapati, ariyasāvako vigatamalamaccherena cetasā agāraṃ ajjhāvasati <b>muttacāgo</b> payatapāṇi vossaggarato yācayogo dānasaṃvibhāgarato. ayaṃ vuccati, gahapati, cāgasampadā.","Here, householder, the master of the house [who is] a noble disciple lives the household life with a mind free from the stain of stinginess, giving freely, open-handed, delighting in generosity, ready to give to beggars, and who delights in sharing gifts. This, householder, is called the attainment of generosity.",
42780,payata 1,,AN4.61,,"idha, gahapati, ariyasāvako vigatamalamaccherena cetasā agāraṃ ajjhāvasati muttacāgo <b>payata</b>pāṇi vossaggarato yācayogo dānasaṃvibhāgarato. ayaṃ vuccati, gahapati, cāgasampadā.","Here, householder, the master of the house [who is] a noble disciple lives the household life with a mind free from the stain of stinginess, giving freely, open-handed, delighting in generosity, ready to give to beggars, and who delights in sharing gifts. This, householder, is called the attainment of generosity.",
