id,pali,selected_pali_word,class_source,extra,class_example,english_translation,Class
30217,taṃ 2.1,taṃ,MN152 (simpl),,"satthārā karaṇīyaṃ sāvakānaṃ, kataṃ vo <b>taṃ</b> mayā.","What should be done by a teacher for (his) disciples, that has been done by me for you.",
30212,taṃ kiṃ maññasi,taṃ kiṃ maññasi,MN147,,"<b>taṃ kiṃ maññasi</b>, rāhula, cakkhu niccaṃ vā aniccaṃ vā'ti","What do you think, Rāhula, “Is the eye permanent or impermanent?”",
30060,tamhā,tamhā,AN4.171,yes,sattā <b>tamhā</b> kāyā cutā āgāmino honti āgantāro itthattaṃ,"Living beings [who] have passed away from that group are returners, who come back to this existence.",
30134,tasa,tasā,SNP9,,"ye keci pāṇabhūtā atthi, <b>tasā</b> vā thāvarā vā anavasesā","Whatever living beings there are, whether moving or not moving without exception.",
31216,tena 1,tena,MN131 (simpl),,<b>tena</b> mahāsenena maccunā saṅgaro na hoti,"There is no bargaining with that death, with (his) great army.",
31320,tesu,tesu,SN7.15 (simpl),yes,"mātari pitari ca, atho jeṭṭhamhi bhātari. ācariye ca, <b>tesu</b> na mānaṃ karohi.","Towards mother and father, and after that, towards the eldest brother; and towards the teacher. Do not show conceit towards them.",
31486,thāvara 1,thāvarā,SNP9,,"ye keci pāṇabhūtā atthi, tasā vā <b>thāvarā</b> vā anavasesā","Whatever living beings there are, whether moving or not moving without exception.",
31383,tvaṃ 1,tvaṃ,MN107,,ehi <b>tvaṃ</b> bhikkhu bhojane mattaññū hohi,"Come, monk, be moderate with regard to food!",
16203,upassaya 1,upassayaṃ,SN1.47 (simpl),,"ye dadanti <b>upassayaṃ</b>, tesaṃ divā ca ratto ca, sadā puññaṃ pavaḍḍhati","Whoever gives a dwelling, merit increases for them all the time, day and night.",
16176,upasussati,upasussatu,SN12.22,,"taco ca nahāru ca aṭṭhi ca avasissatu, sarīre <b>upasussatu</b> maṃsalohitaṃ","Let [my] skin, sinew, and bone remain, let [my] flesh and blood dry up in [my] body.",
15539,upaṭṭhāna 1,upaṭṭhānaṃ,SNP16,yes,"mātāpitu <b>upaṭṭhānaṃ</b>, puttassa ca dārassa saṅgaho","The looking after mother and father, the support of the wife and son.",
16446,upekkhaka,upekkhako,DN22.18,,<b>upekkhako</b> satimā sukhavihārī'ti,“He who is equanimous [and] mindful lives at ease.”,
14718,uttarichappañcavācā,uttarichappañcavācāhi,VIN PAT PC 7,yes,"bhikkhu mātugāmassa <b>uttarichappañcavācāhi</b> dhammaṃ deseti, aññatra viññunā purisaviggahena, pācittiyaṃ.","[If any] monk expounds Dhamma to a woman by means of more than five or six sentences, except [together] with a knowledgeable male, [it is] an offence requiring confession.",
66665,vā 1,vā,MN147,,"taṃ kiṃ maññasi, rāhula, cakkhu niccaṃ <b>vā</b> aniccaṃ vā'ti","What do you think, Rāhula, “Is the eye permanent or impermanent?”",
65715,vajjadassī,vajjadassinaṃ,DHP76 (simpl),yes,"nidhīnaṃ va pavattāraṃ, <b>vajjadassinaṃ</b>  niggayhavādiṃ medhāviṃ paṇḍitaṃ bhajāhi","Associate with an intelligent person, a wise man, one who reproves, who sees fault, he is (like) one who points out the treasure.",
70418,veyyāvaccakara,veyyāvaccakaraṃ,VIN PAT NP 10,yes,"yaṃ kho, bhante, āyasmā <b>veyyāvaccakaraṃ</b> niddisi, saññatto so mayā, upasaṅkamatu āyasmā kālena, cīvarena taṃ acchādessati","Indeed, venerable sir, the steward whom the venerable one has indicated has been instructed by me; let the venerable one approach him at a suitable time; he will clothe you with a robe.",
69713,vihārī,vihārī,DN22.18,,upekkhako satimā <b>sukhavihārī</b>'ti,“He who is equanimous [and] mindful lives at ease.”,
67107,vikappa 1.1,vikappaṃ,VIN PAT NP 8 (simpl),,"ce so bhikkhu, pubbe appavārito, upasaṅkamissati cīvare <b>vikappaṃ</b> āpajjissati","If that monk, previously uninvited, approaches [there], causes an alteration in a robe",
67800,viññū 1,viññunā,VIN PAT PC 7,yes,"bhikkhu mātugāmassa uttarichappañcavācāhi dhammaṃ deseti, aññatra <b>viññunā</b> purisaviggahena, pācittiyaṃ.","[If any] monk expounds Dhamma to a woman by means of more than five or six sentences, except [together] with a knowledgeable male, [it is] an offence requiring confession.",
53738,yadā,yadā,DHP277,,"sabbe dhammā anattā iti, <b>yadā</b> paññāya passati, atha nibbindati dukkhe – esa maggo visuddhiyā","“All things are non-self.” When one sees [this] with wisdom, then one is disenchanted with suffering. This is the path for purification.",
53873,yaṃ 2,yaṃ,VIN PAT NP 10,yes,"<b>yaṃ</b> kho, bhante, āyasmā veyyāvaccakaraṃ niddisi, saññatto so mayā, upasaṅkamatu āyasmā kālena, cīvarena taṃ acchādessati","Indeed, venerable sir, the steward whom the venerable one has indicated has been instructed by me; let the venerable one approach him at a suitable time; he will clothe you with a robe.",
53840,yasmiṃ samaye,,AN2.40,,"<b>yasmiṃ</b>, bhikkhave, <b>samaye</b> corā balavanto honti","At whichever time, monks, thieves are powerful",
54158,ye 1,ye,SNP9,,"<b>ye</b> keci pāṇabhūtā atthi, tasā vā thāvarā vā anavasesā","Whatever living beings there are, whether moving or not moving without exception.",
54156,ye keci,ye keci,SNP9,,"<b>ye keci</b> pāṇabhūtā atthi, tasā vā thāvarā vā anavasesā","Whatever living beings there are, whether moving or not moving without exception.",
35842,nara,,SN21.10 (simpl) ,,"sabb'ābhibhuṃ sabbaviduṃ sumedhaṃ, tam <b>naraṃ</b> ekavihārī iti ahaṃ brūmi","[One who is] all-conquering, all-knowing, wise, that man I call thus, “one who dwells alone.”"
30215,taṃ 1.1,taṃ,MN152 (simpl),,"satthārā karaṇīyaṃ sāvakānaṃ, kataṃ vo <b>taṃ</b> mayā.","What should be done by a teacher for (his) disciples, that has been done by me for you.",
49534,bhavati 1,,SNP8,,"sukhino vā khemino hontu, sabbe sattā <b>bhavantu</b> sukhit'attā","May all living beings be safe or at ease, may they be happy.",
