id,pali,selected_pali_word,class_source,extra,class_example,english_translation,Class
4922,anuppanna,anuppanno,AN1.12,,"n'āhaṃ, bhikkhave, aññaṃ ekadhammam'pi samanupassāmi yena <b>anuppanno</b> byāpādo uppajjati, yathayidaṃ, bhikkhave, paṭighanimittaṃ","I don't see even one single other thing, monks, because of which unarisen ill-will arises, such as a disliked image.",
48843,byāpāda,byāpādo,AN1.12,,"n'āhaṃ, bhikkhave, aññaṃ ekadhammam'pi samanupassāmi yena anuppanno <b>byāpādo</b> uppajjati, yathayidaṃ, bhikkhave, paṭighanimittaṃ","I don't see even one single other thing, monks, because of which unarisen ill-will arises, such as a disliked image.",
53566,yathayidaṃ,yathayidaṃ,AN1.12,,"n'āhaṃ, bhikkhave, aññaṃ ekadhammam'pi samanupassāmi yena anuppanno byāpādo uppajjati, <b>yathayidaṃ</b>, bhikkhave, paṭighanimittaṃ","I don't see even one single other thing, monks, because of which unarisen ill-will arises, such as a disliked image.",
40345,paṭighanimitta,paṭighanimittaṃ,AN1.12,,"n'āhaṃ, bhikkhave, aññaṃ ekadhammam'pi samanupassāmi yena anuppanno byāpādo uppajjati, yathayidaṃ, bhikkhave, <b>paṭighanimittaṃ</b>","I don't see even one single other thing, monks, because of which unarisen ill-will arises, such as a disliked image.",
62688,sāhāra 1,sāhāre,AN10.61,,"pañca ahaṃ nīvaraṇe <b>sāhāre</b> vadāmi, no anāhāre. ko ca āhāro pañcannaṃ nīvaraṇānaṃ? tīṇi duccaritāni","I speak of five hindrances with nutriment, [they are] not without nutriment. And what is the nutriment of the five hindrances? The three [kinds of] misconduct.",
4099,anāhāra,anāhāre,AN10.61,,"pañca ahaṃ nīvaraṇe sāhāre vadāmi, no <b>anāhāre</b>. ko ca āhāro pañcannaṃ nīvaraṇānaṃ? tīṇi duccaritāni","I speak of five hindrances with nutriment, [they are] not without nutriment. And what is the nutriment of the five hindrances? The three [kinds of] misconduct.",
33061,duccarita 2,duccaritāni,AN10.61,,"pañca ahaṃ nīvaraṇe sāhāre vadāmi, no anāhāre. ko ca āhāro pañcannaṃ nīvaraṇānaṃ? tīṇi <b>duccaritāni</b>","I speak of five hindrances with nutriment, [they are] not without nutriment. And what is the nutriment of the five hindrances? The three [kinds of] misconduct.",
13825,imehi 1,imehi,AN10.8,,"<b>imehi</b> kho, bhikkhave, dasahi dhammehi samannāgato bhikkhu samanta'pāsādiko ca hoti sabb'ākāraparipūro ca","Surely, a monk endowed with these ten qualities is one who is complete in every aspect and who inspires confidence in every way.",
59391,samantapāsādika,samanta'pāsādiko,AN10.8,,"imehi kho, bhikkhave, dasahi dhammehi samannāgato bhikkhu <b>samanta'pāsādiko</b> ca hoti sabb'ākāraparipūro ca","Surely, a monk endowed with these ten qualities is one who is complete in every aspect and who inspires confidence in every way.",
59003,sabbākāraparipūra,sabb'ākāraparipūro,AN10.8,,"imehi kho, bhikkhave, dasahi dhammehi samannāgato bhikkhu samanta'pāsādiko ca hoti <b>sabb'ākāraparipūro</b> ca","Surely, a monk endowed with these ten qualities is one who is complete in every aspect and who inspires confidence in every way.",
57724,sattannaṃ 1,sattannaṃ,AN4.67,,"namo bhagavato, namo <b>sattannaṃ</b> sammāsambuddhānaṃ","Homage to the Blessed One, homage to the seven Perfectly Enlightened Ones.",
24139,gaṇḍa 1,gaṇḍo,AN9.15,yes,"seyyathāpi, bhikkhave, <b>gaṇḍo</b> anekavassagaṇiko. tassa assu gaṇḍassa nava vaṇamukhāni nava abhedanamukhāni.","Imagine, monks, a boil many years old. That boil would have nine wound openings, nine natural orifices.",
5529,anekavassagaṇika,anekavassagaṇiko,AN9.15,yes,"seyyathāpi, bhikkhave, gaṇḍo <b>anekavassagaṇiko</b>. tassa assu gaṇḍassa nava vaṇamukhāni nava abhedanamukhāni.","Imagine, monks, a boil many years old. That boil would have nine wound openings, nine natural orifices.",
30174,tassassu,,AN9.15,yes,"seyyathāpi, bhikkhave, gaṇḍo anekavassagaṇiko. <b>tassa assu</b> gaṇḍassa nava vaṇamukhāni nava abhedanamukhāni.","Imagine, monks, a boil many years old. That boil would have nine wound openings, nine natural orifices.",
35886,nava 2.1,,AN9.15,yes,"seyyathāpi, bhikkhave, gaṇḍo anekavassagaṇiko. tassa assu gaṇḍassa <b>nava</b> vaṇamukhāni <b>nava</b> abhedanamukhāni.","Imagine, monks, a boil many years old. That boil would have nine wound openings, nine natural orifices.",
8422,abhedanamukha,abhedanamukhāni,AN9.15,yes,"seyyathāpi, bhikkhave, gaṇḍo anekavassagaṇiko. tassa assu gaṇḍassa nava vaṇamukhāni nava <b>abhedanamukhāni</b>.","Imagine, monks, a boil many years old. That boil would have nine wound openings, nine natural orifices.",
53229,mettāsahagata,mettāsahagatena,DN13.8,,"so <b>mettāsahagatena</b> cetasā ekaṃ disaṃ pharitvā viharati, tathā dutiyaṃ, tathā tatiyaṃ, tathā catutthaṃ","He dwells/abides having pervaded one direction with a mind full of lovingkindness. Likewise, the second, third and fourth.",
61369,sahagata,sahagatena,DN13.8,,"so mettā<b>sahagatena</b> cetasā ekaṃ disaṃ pharitvā viharati, tathā dutiyaṃ, tathā tatiyaṃ, tathā catutthaṃ","He dwells/abides having pervaded one direction with a mind full of lovingkindness. Likewise, the second, third and fourth.",
26045,caturāsīti,caturāsītīnaṃ,DN14.14,,evam'eva tesaṃ <b>caturāsītīnaṃ</b> pāṇānaṃ sahassānaṃ tasmiṃ eva āsane virajaṃ vītamalaṃ dhammacakkhuṃ udapādi,"Similarly, spotless, untainted spiritual insight arose for those eighty-four thousand beings just in that place.",
45349,pāṇa 3,,DN14.14,,evam'eva tesaṃ caturāsītīnaṃ <b>pāṇānaṃ</b> sahassānaṃ tasmiṃ eva āsane virajaṃ vītamalaṃ dhammacakkhuṃ udapādi,"Similarly, spotless, untainted spiritual insight arose for those eighty-four thousand beings just in that place.",
30153,tasmiṃ 1,tasmiṃ,DN14.14,,evam'eva tesaṃ caturāsītīnaṃ pāṇānaṃ sahassānaṃ <b>tasmiṃ</b> eva āsane virajaṃ vītamalaṃ dhammacakkhuṃ udapādi,"Similarly, spotless, untainted spiritual insight arose for those eighty-four thousand beings just in that place.",
69810,vītamala,vītamalaṃ,DN14.14,,evam'eva tesaṃ caturāsītīnaṃ pāṇānaṃ sahassānaṃ tasmiṃ eva āsane virajaṃ <b>vītamalaṃ</b> dhammacakkhuṃ udapādi,"Similarly, spotless, untainted spiritual insight arose for those eighty-four thousand beings just in that place.",
34681,dhammacakkhu,dhammacakkhuṃ,DN14.14,,evam'eva tesaṃ caturāsītīnaṃ pāṇānaṃ sahassānaṃ tasmiṃ eva āsane virajaṃ vītamalaṃ <b>dhammacakkhuṃ</b> udapādi,"Similarly, spotless, untainted spiritual insight arose for those eighty-four thousand beings just in that place.",
17803,eke 1,eke,DN9.6,,<b>eke</b> samaṇabrāhmaṇā evaṃvādino evaṃdiṭṭhino,"Some monks and brahmins who hold the view, [who are] of the opinion",
59215,samaṇabrāhmaṇā,samaṇabrāhmaṇā,DN9.6,,eke <b>samaṇabrāhmaṇā</b> evaṃvādino evaṃdiṭṭhino,"Some monks and brahmins who hold the view, [who are] of the opinion",
18135,evaṃ 2,evaṃ,DN9.6,,eke samaṇabrāhmaṇā <b>evaṃ</b>vādino evaṃdiṭṭhino,"Some monks and brahmins who hold the view, [who are] of the opinion",
18200,evaṃvādī,evaṃvādino,DN9.6,,eke samaṇabrāhmaṇā <b>evaṃvādino</b> evaṃdiṭṭhino,"Some monks and brahmins who hold the view, [who are] of the opinion",
18155,evaṃdiṭṭhī,evaṃdiṭṭhino,DN9.6,,eke samaṇabrāhmaṇā evaṃvādino <b>evaṃdiṭṭhino</b>,"Some monks and brahmins who hold the view, [who are] of the opinion",
22131,kukkuṭī,kukkuṭiyā,MN16,,"seyyathāpi, bhikkhave, <b>kukkuṭiyā</b> aṇḍāni aṭṭha vā dasa vā dvādasa vā.","Imagine if, monks, there could be hen's eggs, eight or ten or twelve.",
1981,aṇḍa 1,aṇḍāni,MN16,,"seyyathāpi, bhikkhave, kukkuṭiyā <b>aṇḍāni</b> aṭṭha vā dasa vā dvādasa vā.","Imagine if, monks, there could be hen's eggs, eight or ten or twelve.",
1713,aṭṭha 1.1,aṭṭha,MN16,,"seyyathāpi, bhikkhave, kukkuṭiyā aṇḍāni <b>aṭṭha</b> vā dasa vā dvādasa vā.","Imagine if, monks, there could be hen's eggs, eight or ten or twelve.",
34320,dvādasa 1,dvādasa,MN16,,"seyyathāpi, bhikkhave, kukkuṭiyā aṇḍāni aṭṭha vā dasa vā <b>dvādasa</b> vā.","Imagine if, monks, there could be hen's eggs, eight or ten or twelve.",
