id,pali,selected_pali_word,class_source,extra,class_example,english_translation,Class
66809,vādī 1,,DHP223 (simpl)  ,yes,"jina kadariyaṃ dānena, jina saccena alika<b>vādinaṃ.</b>",Conquer stinginess by giving; conquer liar by truth.,
40131,pañha 2,,MN43,,so āyasmantaṃ sāriputtaṃ uttariṃ <b>pañhaṃ</b> apucchi.,He asked venerable Sāriputta a question in addition.,
32876,dukkha 2,,MN74,,"n'eva tasmiṃ samaye <b>dukkhaṃ</b> vedanaṃ vedeti, na adukkham'asukhaṃ vedanaṃ vedeti","At that time, he feels neither an unpleasant sensation nor a neutral sensation. ",
66053,vattha 1.1,,MN82,,"aṭṭhi tacena onaddhaṃ, saha <b>vatthebhi</b> sobhati. ",A bone covered with skin; it looks beautiful with clothes.,
32254,dāna 1.2,,MN82 ,,"āyasmā raṭṭhapālo n'eva <b>dānaṃ</b> alattha na paccakkhānaṃ, añña'd'atthu akkosaṃ eva alattha!","Venerable Raṭṭhapāla obtained neither alms nor a refusal; on the contrary, he obtained only verbal abuse.",
52100,maṃ 1,,SN42.2 (simpl) ,,"alaṃ, gāmaṇi. mā <b>maṃ</b> etaṃ pucchi","That’s enough, leader, do not ask me this!",
71212,hi 1,,SNP31 (simpl)  ,yes,tuvaṃ <b>hi</b> no brahmasamo asi saccaṃ,You are truly for us equal to the Brahma.,
31139,te 2.4,,SNP70 ,yes,"<b>te</b> diṭṭhiṃ n'ābhijānāmi, gotamassa yasassino.",I don’t understand your view; [the view] of the famous Gotama.,
53824,yasassī 1,,SNP70 ,yes,"te diṭṭhiṃ n'ābhijānāmi, gotamassa <b>yasassino</b>. ",I don’t understand your view; [the view] of the famous Gotama.,
8087,abhiramati,abhiramanti,UD45,,asurā mahāsamudde <b>abhiramanti</b>.,Malevolent beings find high pleasure in the great ocean.,
8212,abhisamaya,abhisamayaṃ,SN56.35 (simpl),,"ahaṃ saha eva sukhena, saha eva somanassena catunnaṃ ariyasaccānaṃ <b>abhisamayaṃ</b> vadāmi.",I say clear comprehension of the four Noble Truths [is] accompanied only by happiness and only by mental ease.,
962,accayena 2,accayena,DN16.36 (simpl),,vo mayā dhammo ca vinayo ca desito vo mama <b>accayena</b> satthā bhavissati,"After my passing away, the Doctrine and Discipline taught by me to you, will become a teacher for you.",
3054,adhamma 2,adhammo,TH195,,"<b>adhammo</b> nirayaṃ neti, dhammo pāpeti suggatiṃ","False teaching leads to no good fortune, the Teaching leads to a good destination.",
2910,adukkhamasukha 1,adukkham'asukhaṃ,MN74,,"n'eva tasmiṃ samaye dukkhaṃ vedanaṃ vedeti, na <b>adukkham'asukhaṃ</b> vedanaṃ vedeti","At that time, he feels neither an unpleasant sensation nor a neutral sensation.",
10868,ahaṃ,ahaṃ,MN82 (simpl),,<b>ahaṃ</b> yathākammaṃ gamissāmi,I will go according to my actions.,
10945,ahesuṃ,ahesuṃ,SN22.59,,evaṃ me saṅkhārā hontu! evaṃ me saṅkhārā mā <b>ahesuṃ</b>!,"Let my volitional formations be thus, let my volitional formations not be thus.",
10961,ahosi,ahosi,SN22.59,,evaṃ me rūpaṃ hotu! evaṃ me rūpaṃ mā <b>ahosi</b>!,"Let my body be thus, let my body not be thus.",
10928,ahuvattha,ahuvattha,MN19 (simpl),yes,"jhāyatha, bhikkhave, mā pamādaṃ attha, mā pacchā vippaṭisārino <b>ahuvattha</b>. ayaṃ vo amhākaṃ anusāsanī","Meditate, monks! You must not be negligent, do not have remorse afterwards! This [is] our advice for you.",
52123,mā ahuvattha,ahuvattha,MN19 (simpl),yes,"jhāyatha, bhikkhave, mā pamādaṃ attha, <b>mā</b> pacchā vippaṭisārino <b>ahuvattha</b>. ayaṃ vo amhākaṃ anusāsanī","Meditate, monks! You must not be negligent, do not have remorse afterwards! This [is] our advice for you.",
1218,ajesi,ajesi,VIN5.1.1,,mā kho tumhe eso <b>ajesi</b>.,Do not indeed let this [person] defeat you.,
11387,ājīva,ājīvo,MN39,,parisuddho no <b>ājīvo</b> bhavissati,Our lifestyle should be purified.,
328,akkosa,akkosaṃ,MN82,,"āyasmā raṭṭhapālo n'eva dānaṃ alattha na paccakkhānaṃ, añña'd'atthu <b>akkosaṃ</b> eva alattha!","Venerable Raṭṭhapāla obtained neither alms nor a refusal; on the contrary, he obtained only verbal abuse.",
9201,alaṃ 3,alaṃ,TH251 (simpl) ,yes,"<b>alaṃ</b> bālassa mohāya, no pāraṃ gavesino ",It is enough for the delusion of a fool not for one seeking Nibbāna.,
9148,alattha 1,alattha,MN82,,"āyasmā raṭṭhapālo n'eva dānaṃ <b>alattha</b> na paccakkhānaṃ, añña'd'atthu akkosaṃ eva alattha!","Venerable Raṭṭhapāla obtained neither alms nor a refusal; on the contrary, he obtained only verbal abuse.",
9235,alika 1,alikavādinaṃ,DHP223 (simpl),yes,"jina kadariyaṃ dānena, jina saccena <b>alika</b>vādinaṃ.",Conquer stinginess by giving; conquer liar by truth.,
9237,alikavādī,alikavādinaṃ,DHP223 (simpl),yes,"jina kadariyaṃ dānena, jina saccena <b>alikavādinaṃ</b>.",Conquer stinginess by giving; conquer liar by truth.,
8701,amhākaṃ 3,amhākaṃ,MN19 (simpl),yes,ayaṃ vo <b>amhākaṃ</b> anusāsanī,This [is] our advice for you.,
8705,amhesu,amhesu,SN12.22 (simpl),,kārā <b>amhesu</b> mahapphalā bhavissanti,Services (done) to us could be of great fruits.,
3946,anāthapiṇḍika,anāthapiṇḍiko,AN10.93,,"<b>anāthapiṇḍiko</b> gahapati yāvatako ahosi paribbājakehi saddhiṃ kathāsallāpo, taṃ sabbaṃ bhagavato ārocesi.","Whatever conversation the householder Anāthapindika had with the wandering ascetics, all that he told to the Blessed One.",
4161,aniccānupassī,aniccaṃ anupassī,MN118 (simpl),,<b>anicc'ānupassī</b> passasissāmi iti sikkhati,"One trains thus: “I will breathe out, observing impermanence.”",
1561,aññadatthu 2,añña'd'atthu,MN82,,"āyasmā raṭṭhapālo n'eva dānaṃ alattha na paccakkhānaṃ, <b>añña'd'atthu</b> akkosaṃ eva alattha!","Venerable Raṭṭhapāla obtained neither alms nor a refusal; on the contrary, he obtained only verbal abuse.",
4774,anupassī 1,anupassī,MN118 (simpl),,aniccaṃ <b>anupassī</b> passasissāmi iti sikkhati,"One trains thus: “I will breathe out, observing impermanence.”",
