id,pali,selected_pali_word,class_source,extra,class_example,english_translation,Class
13801,imāni,imāni,AN3.112,,"tīṇi <b>imāni</b>, bhikkhave, nidānāni kammānaṃ samudayāya. katamāni tīṇi?","Monks, [there are] these three origins for the arising of kamma.",
19645,katama,katamāni,AN3.112,,"tīṇi imāni, bhikkhave, nidānāni kammānaṃ samudayāya. <b>katamāni</b> tīṇi?","Monks, [there are] these three origins for the arising of kamma.",
37192,nidāna 1,nidānāni,AN3.112,,"tīṇi imāni, bhikkhave, <b>nidānāni</b> kammānaṃ samudayāya. katamāni tīṇi?","Monks, [there are] these three origins for the arising of kamma.",
30913,tīṇi,tīṇi,AN3.112,,"<b>tīṇi</b> imāni, bhikkhave, nidānāni kammānaṃ samudayāya. katamāni <b>tīṇi</b>?","Monks, [there are] these three origins for the arising of kamma.",
9199,alaṃ 1,alaṃ,AN3.66,,"<b>alaṃ</b> hi vo, kālāmā, kaṅkhituṃ alaṃ vicikicchituṃ","It is definitely suitable for you, Kalamas, to doubt, it is suitable to be unsure.",
21468,kālāmā,kālāmā,AN3.66,,"alaṃ hi vo, <b>kālāmā</b>, kaṅkhituṃ alaṃ vicikicchituṃ","It is definitely suitable for you, Kalamas, to doubt, it is suitable to be unsure.",
19245,kaṅkhituṃ,kaṅkhituṃ,AN3.66,,"alaṃ hi vo, kālāmā, <b>kaṅkhituṃ</b> alaṃ vicikicchituṃ","It is definitely suitable for you, Kalamas, to doubt, it is suitable to be unsure.",
67472,vicikicchituṃ,vicikicchituṃ,AN3.66,,"alaṃ hi vo, kālāmā, kaṅkhituṃ alaṃ <b>vicikicchituṃ</b>","It is definitely suitable for you, Kalamas, to doubt, it is suitable to be unsure.",
26117,cattāri 1,cattāri,AN4.42,,"<b>cattāri</b> imāni, bhikkhave, pañha-vyākaraṇāni . katamāni cattāri?","Monks, [there are] these four [ways] [of] answering questions. What four?",
70715,vyākaraṇa 1,vyākaraṇāni,AN4.42,,"cattāri imāni, bhikkhave, pañha-<b>vyākaraṇāni</b> . katamāni cattāri?","Monks, [there are] these four [ways] [of] answering questions. What four?",
7828,abhinipajjituṃ,abhinipajjituṃ,AN8.13,yes,jegucchī hoti uccāraṃ vā passāvaṃ vā abhinisīdituṃ vā <b>abhinipajjituṃ</b> vā.,He is one who hates to sit or lie down on excrement or urine.,
7897,abhinisīdituṃ,abhinisīdituṃ,AN8.13,yes,jegucchī hoti uccāraṃ vā passāvaṃ vā <b>abhinisīdituṃ</b> vā abhinipajjituṃ vā.,He is one who hates to sit or lie down on excrement or urine.,
28664,jegucchī 1,jegucchī,AN8.13,yes,<b>jegucchī</b> hoti uccāraṃ vā passāvaṃ vā abhinisīdituṃ vā abhinipajjituṃ vā.,He is one who hates to sit or lie down on excrement or urine.,
44782,passāva,passāvaṃ,AN8.13,yes,jegucchī hoti uccāraṃ vā <b>passāvaṃ</b> vā abhinisīdituṃ vā abhinipajjituṃ vā.,He is one who hates to sit or lie down on excrement or urine.,
14304,uccāra,uccāraṃ,AN8.13,yes,jegucchī hoti <b>uccāraṃ</b> vā passāvaṃ vā abhinisīdituṃ vā abhinipajjituṃ vā.,He is one who hates to sit or lie down on excrement or urine.,
9200,alaṃ 2,,AN8.49 (simpl),yes,tattha sā dakkhā hoti analasā tatr'upāyāya vīmaṃsāya samannāgatā <b>alaṃ</b> kātuṃ <b>alaṃ</b> saṃvidhātuṃ.,"There, she is skilled and energetic, endowed with relevant discrimination [and] is able to organize and do [the domestic chores for her husband].",
3828,analasa,analasā,AN8.49 (simpl),yes,tattha sā dakkhā hoti <b>analasā</b> tatr'upāyāya vīmaṃsāya samannāgatā alaṃ kātuṃ alaṃ saṃvidhātuṃ.,"There, she is skilled and energetic, endowed with relevant discrimination [and] is able to organize and do [the domestic chores for her husband].",
31683,dakkha,,AN8.49 (simpl),yes,tattha sā <b>dakkhā</b> hoti analasā tatr'upāyāya vīmaṃsāya samannāgatā alaṃ kātuṃ alaṃ saṃvidhātuṃ.,"There, she is skilled and energetic, endowed with relevant discrimination [and] is able to organize and do [the domestic chores for her husband].",
59404,samannāgata,samannāgatā,AN8.49 (simpl),yes,tattha sā dakkhā hoti analasā tatr'upāyāya vīmaṃsāya <b>samannāgatā</b> alaṃ kātuṃ alaṃ saṃvidhātuṃ.,"There, she is skilled and energetic, endowed with relevant discrimination [and] is able to organize and do [the domestic chores for her husband].",
61942,saṃvidhātuṃ,saṃvidhātuṃ,AN8.49 (simpl),yes,tattha sā dakkhā hoti analasā tatr'upāyāya vīmaṃsāya samannāgatā alaṃ kātuṃ alaṃ <b>saṃvidhātuṃ</b>.,"There, she is skilled and energetic, endowed with relevant discrimination [and] is able to organize and do [the domestic chores for her husband].",
29635,tatrupāya,,AN8.49 (simpl),yes,tattha sā dakkhā hoti analasā <b>tatr'upāyāya</b> vīmaṃsāya samannāgatā alaṃ kātuṃ alaṃ saṃvidhātuṃ.,"There, she is skilled and energetic, endowed with relevant discrimination [and] is able to organize and do [the domestic chores for her husband].",
69888,vīmaṃsā 1,vīmaṃsāya,AN8.49 (simpl),yes,tattha sā dakkhā hoti analasā tatr'upāyāya <b>vīmaṃsāya</b> samannāgatā alaṃ kātuṃ alaṃ saṃvidhātuṃ.,"There, she is skilled and energetic, endowed with relevant discrimination [and] is able to organize and do [the domestic chores for her husband].",
7047,appassuta,appassuto,DHP152 (simpl),yes,"<b>appassuto</b> puriso, balibaddho va jīrati,  maṃsāni tassa vaḍḍhanti, paññā tassa na vaḍḍhati.","An unlearned man ages like an ox, his flesh increases, his wisdom does not increase.",
48046,balibaddha,balibaddho,DHP152 (simpl),yes,"appassuto puriso, <b>balibaddho</b> va jīrati,  maṃsāni tassa vaḍḍhanti, paññā tassa na vaḍḍhati.","An unlearned man ages like an ox, his flesh increases, his wisdom does not increase.",
28557,jīrati,jīrati,DHP152 (simpl),yes,"appassuto puriso, balibaddho va <b>jīrati</b>,  maṃsāni tassa vaḍḍhanti, paññā tassa na vaḍḍhati.","An unlearned man ages like an ox, his flesh increases, his wisdom does not increase.",
52105,maṃsa 1,maṃsāni,DHP152 (simpl),yes,"appassuto puriso, balibaddho va jīrati,  <b>maṃsāni</b> tassa vaḍḍhanti, paññā tassa na vaḍḍhati.","An unlearned man ages like an ox, his flesh increases, his wisdom does not increase.",
65832,vaḍḍhati,vaḍḍhanti,DHP152 (simpl),yes,"appassuto puriso, balibaddho va jīrati,  maṃsāni tassa <b>vaḍḍhanti</b>, paññā tassa na vaḍḍhati.","An unlearned man ages like an ox, his flesh increases, his wisdom does not increase.",
3179,adhicitta,adhicitte,DHP185,yes,"mattaññutā ca bhattasmiṃ, pantaṃ ca sayan'āsanaṃ,  <b>adhicitte</b> ca āyogo, etaṃ buddhānaṃ sāsanaṃ.","Moderation in regard to food, a secluded living place [i.e. living in seclusion], and devotion to mental development; this is the teaching of the Buddhas.",
12332,āyoga 1,āyogo,DHP185,yes,"mattaññutā ca bhattasmiṃ, pantaṃ ca sayan'āsanaṃ,  adhicitte ca <b>āyogo</b>, etaṃ buddhānaṃ sāsanaṃ.","Moderation in regard to food, a secluded living place [i.e. living in seclusion], and devotion to mental development; this is the teaching of the Buddhas.",
49284,bhatta 1.1,bhattasmiṃ,DHP185,yes,"mattaññutā ca <b>bhattasmiṃ</b>, pantaṃ ca sayan'āsanaṃ,  adhicitte ca āyogo, etaṃ buddhānaṃ sāsanaṃ.","Moderation in regard to food, a secluded living place [i.e. living in seclusion], and devotion to mental development; this is the teaching of the Buddhas.",
50950,mattaññutā,mattaññutā,DHP185,yes,"<b>mattaññutā</b> ca bhattasmiṃ, pantaṃ ca sayan'āsanaṃ,  adhicitte ca āyogo, etaṃ buddhānaṃ sāsanaṃ.","Moderation in regard to food, a secluded living place [i.e. living in seclusion], and devotion to mental development; this is the teaching of the Buddhas.",
42342,panta 2,pantaṃ,DHP185,yes,"mattaññutā ca bhattasmiṃ, <b>pantaṃ</b> ca sayan'āsanaṃ,  adhicitte ca āyogo, etaṃ buddhānaṃ sāsanaṃ.","Moderation in regard to food, a secluded living place [i.e. living in seclusion], and devotion to mental development; this is the teaching of the Buddhas.",
62609,sāsana 1,sāsanaṃ,DHP185,yes,"mattaññutā ca bhattasmiṃ, pantaṃ ca sayan'āsanaṃ,  adhicitte ca āyogo, etaṃ buddhānaṃ <b>sāsanaṃ</b>.","Moderation in regard to food, a secluded living place [i.e. living in seclusion], and devotion to mental development; this is the teaching of the Buddhas.",
60953,sayanāsana,sayan'āsanaṃ,DHP185,yes,"mattaññutā ca bhattasmiṃ, pantaṃ ca <b>sayan'āsanaṃ</b>,  adhicitte ca āyogo, etaṃ buddhānaṃ sāsanaṃ.","Moderation in regard to food, a secluded living place [i.e. living in seclusion], and devotion to mental development; this is the teaching of the Buddhas.",
2730,atthāya 2,atthāya,DN 16.21,,taṃ assa bahujanahitāya bahujanasukhāya lok'ānukampāya <b>atthāya</b> hitāya sukhāya devamanussānaṃ,"That would be for the benefit [and] the happiness of many people, out of compassion for the world, [it would be] for the benefit, advantage and comfort of gods and humans.",
48127,bahujanahitāya,bahujanahitāya,DN 16.21,,taṃ assa <b>bahujanahitāya</b> bahujanasukhāya lok'ānukampāya atthāya hitāya sukhāya devamanussānaṃ,"That would be for the benefit [and] the happiness of many people, out of compassion for the world, [it would be] for the benefit, advantage and comfort of gods and humans.",
9050,ariyo aṭṭhaṅgiko maggo,ariyo aṭṭh'aṅgiko maggo,DN16.21,,seyyathidaṃ — cattāro satipaṭṭhānā cattāro sammappadhānā cattāro iddhipādā pañc'indriyāni pañca balāni satta bojjh'aṅgā <b>ariyo aṭṭh'aṅgiko maggo</b>.,"[They are] as follows: four foundations of mindfulness, four right efforts, four bases for psychic power, five faculties, five mental powers, seven enlightenment factors [and] the Noble Eightfold Path.",
1747,aṭṭhaṅgika,aṭṭh'aṅgiko,DN16.21,,seyyathidaṃ — cattāro satipaṭṭhānā cattāro sammappadhānā cattāro iddhipādā pañc'indriyāni pañca balāni satta bojjh'aṅgā ariyo <b>aṭṭh'aṅgiko</b> maggo.,"[They are] as follows: four foundations of mindfulness, four right efforts, four bases for psychic power, five faculties, five mental powers, seven enlightenment factors [and] the Noble Eightfold Path.",
2728,atthāya hitāya sukhāya,atthāya hitāya sukhāya,DN16.21,,taṃ assa bahujanahitāya bahujanasukhāya lok'ānukampāya <b>atthāya hitāya sukhāya</b> devamanussānaṃ,"That would be for the benefit [and] the happiness of many people, out of compassion for the world, [it would be] for the benefit, advantage and comfort of gods and humans.",
48113,bahujana,bahujana,DN16.21,,taṃ assa <b>bahujana</b>hitāya <b>bahujana</b>sukhāya lok'ānukampāya atthāya hitāya sukhāya devamanussānaṃ,"That would be for the benefit [and] the happiness of many people, out of compassion for the world, [it would be] for the benefit, advantage and comfort of gods and humans.",
48125,bahujanasukhāya,bahujanasukhāya,DN16.21,,taṃ assa bahujanahitāya <b>bahujanasukhāya</b> lok'ānukampāya atthāya hitāya sukhāya devamanussānaṃ,"That would be for the benefit [and] the happiness of many people, out of compassion for the world, [it would be] for the benefit, advantage and comfort of gods and humans.",
47974,bala 2,,DN16.21,,seyyathidaṃ — cattāro satipaṭṭhānā cattāro sammappadhānā cattāro iddhipādā pañc'indriyāni pañca <b>balāni</b> satta bojjh'aṅgā ariyo aṭṭh'aṅgiko maggo.,"[They are] as follows: four foundations of mindfulness, four right efforts, four bases for psychic power, five faculties, five mental powers, seven enlightenment factors [and] the Noble Eightfold Path.",
71233,hitāya,hitāya,DN16.21,,taṃ assa bahujanahitāya bahujanasukhāya lok'ānukampāya atthāya <b>hitāya</b> sukhāya devamanussānaṃ,"That would be for the benefit [and] the happiness of many people, out of compassion for the world, [it would be] for the benefit, advantage and comfort of gods and humans.",
13657,iddhipāda 1,iddhipādā,DN16.21,,seyyathidaṃ — cattāro satipaṭṭhānā cattāro sammappadhānā cattāro <b>iddhipādā</b> pañc'indriyāni pañca balāni satta bojjh'aṅgā ariyo aṭṭh'aṅgiko maggo.,"[They are] as follows: four foundations of mindfulness, four right efforts, four bases for psychic power, five faculties, five mental powers, seven enlightenment factors [and] the Noble Eightfold Path.",
56038,lokānukampā,lok'ānukampāya,DN16.21,,taṃ assa bahujanahitāya bahujanasukhāya <b>lok'ānukampāya</b> atthāya hitāya sukhāya devamanussānaṃ,"That would be for the benefit [and] the happiness of many people, out of compassion for the world, [it would be] for the benefit, advantage and comfort of gods and humans.",
50495,magga 1,maggo,DN16.21,,seyyathidaṃ — cattāro satipaṭṭhānā cattāro sammappadhānā cattāro iddhipādā pañc'indriyāni pañca balāni satta bojjh'aṅgā ariyo aṭṭh'aṅgiko <b>maggo</b>.,"[They are] as follows: four foundations of mindfulness, four right efforts, four bases for psychic power, five faculties, five mental powers, seven enlightenment factors [and] the Noble Eightfold Path.",
39752,pañca balāni,pañca balāni,DN16.21,,seyyathidaṃ — cattāro satipaṭṭhānā cattāro sammappadhānā cattāro iddhipādā pañc'indriyāni <b>pañca balāni</b> satta bojjh'aṅgā ariyo aṭṭh'aṅgiko maggo.,"[They are] as follows: four foundations of mindfulness, four right efforts, four bases for psychic power, five faculties, five mental powers, seven enlightenment factors [and] the Noble Eightfold Path.",
39943,pañcindriyāni 1,pañc'indriyāni,DN16.21,,seyyathidaṃ — cattāro satipaṭṭhānā cattāro sammappadhānā cattāro iddhipādā <b>pañc'indriyāni</b> pañca balāni satta bojjh'aṅgā ariyo aṭṭh'aṅgiko maggo.,"[They are] as follows: four foundations of mindfulness, four right efforts, four bases for psychic power, five faculties, five mental powers, seven enlightenment factors [and] the Noble Eightfold Path.",
76729,sammappadhāna 2,sammappadhānā,DN16.21,,seyyathidaṃ — cattāro satipaṭṭhānā cattāro <b>sammappadhānā</b> cattāro iddhipādā pañc'indriyāni pañca balāni satta bojjh'aṅgā ariyo aṭṭh'aṅgiko maggo.,"[They are] as follows: four foundations of mindfulness, four right efforts, four bases for psychic power, five faculties, five mental powers, seven enlightenment factors [and] the Noble Eightfold Path.",
57675,satta 1.1,,DN16.21,,seyyathidaṃ — cattāro satipaṭṭhānā cattāro sammappadhānā cattāro iddhipādā pañc'indriyāni pañca balāni <b>satta</b> bojjh'aṅgā ariyo aṭṭh'aṅgiko maggo.,"[They are] as follows: four foundations of mindfulness, four right efforts, four bases for psychic power, five faculties, five mental powers, seven enlightenment factors [and] the Noble Eightfold Path.",
57738,sattabojjhaṅgā,satta bojjh'aṅgā,DN16.21,,seyyathidaṃ — cattāro satipaṭṭhānā cattāro sammappadhānā cattāro iddhipādā pañc'indriyāni pañca balāni <b>sattabojjh'aṅgā</b> ariyo aṭṭh'aṅgiko maggo.,"[They are] as follows: four foundations of mindfulness, four right efforts, four bases for psychic power, five faculties, five mental powers, seven enlightenment factors [and] the Noble Eightfold Path.",
63559,sukhāya,sukhāya,DN16.21,,taṃ assa bahujanahitāya bahujanasukhāya lok'ānukampāya atthāya hitāya <b>sukhāya</b> devamanussānaṃ,"That would be for the benefit [and] the happiness of many people, out of compassion for the world, [it would be] for the benefit, advantage and comfort of gods and humans.",
8902,arahati 3,arahati,DN5.2,,samaṇo gotamo <b>arahati</b> bhavantaṃ kūṭadantaṃ dassanāya upasaṅkamituṃ,The recluse Gotama ought to visit sir Kūṭadanta to see him.,
32127,dassanāya 2,dassanāya,DN5.2,,samaṇo gotamo arahati bhavantaṃ kūṭadantaṃ <b>dassanāya</b> upasaṅkamituṃ,The recluse Gotama ought to visit sir Kūṭadanta to see him.,
22764,kūṭadanta,kūṭadantaṃ,DN5.2,,samaṇo gotamo arahati bhavantaṃ <b>kūṭadantaṃ</b> dassanāya upasaṅkamituṃ,The recluse Gotama ought to visit sir Kūṭadanta to see him.,
16095,upasaṅkamituṃ,upasaṅkamituṃ,DN5.2,,samaṇo gotamo arahati bhavantaṃ kūṭadantaṃ dassanāya <b>upasaṅkamituṃ</b>,The recluse Gotama ought to visit sir Kūṭadanta to see him.,
4853,anupubbakiriyā,anupubbakiriyā,MN107,,"sakkā nu kho, bho gotama, imasmiṃ dhammavinaye evam'eva anupubbasikkhā <b>anupubbakiriyā</b> anupubbapaṭipadā paññapetuṃ?","Master Gotama, is it possible, similarly, to describe gradual training, gradual undertaking, gradual progress in this Doctrine-and-Discipline?",
4858,anupubbapaṭipadā,anupubbapaṭipadā,MN107,,"sakkā nu kho, bho gotama, imasmiṃ dhammavinaye evam'eva anupubbasikkhā anupubbakiriyā <b>anupubbapaṭipadā</b> paññapetuṃ?","Master Gotama, is it possible, similarly, to describe gradual training, gradual undertaking, gradual progress in this Doctrine-and-Discipline?",
50331,bho,bho,MN107,,"sakkā nu kho, <b>bho</b> gotama, imasmiṃ dhammavinaye evam'eva anupubbasikkhā anupubbakiriyā anupubbapaṭipadā paññapetuṃ?","Master Gotama, is it possible, similarly, to describe gradual training, gradual undertaking, gradual progress in this Doctrine-and-Discipline?",
34917,dhammavinaya,dhammavinaye,MN107,,"sakkā nu kho, bho gotama, imasmiṃ <b>dhammavinaye</b> evam'eva anupubbasikkhā anupubbakiriyā anupubbapaṭipadā paññapetuṃ?","Master Gotama, is it possible, similarly, to describe gradual training, gradual undertaking, gradual progress in this Doctrine-and-Discipline?",
18109,evameva,evam'eva,MN107,,"sakkā nu kho, bho gotama, imasmiṃ dhammavinaye <b>evam'eva</b> anupubbasikkhā anupubbakiriyā anupubbapaṭipadā paññapetuṃ?","Master Gotama, is it possible, similarly, to describe gradual training, gradual undertaking, gradual progress in this Doctrine-and-Discipline?",
24263,gantukāma,gantu'kāmo,MN107,,"taṃ kiṃ maññasi, brāhmaṇa, idha puriso āgaccheyya rājagahaṃ <b>gantu'kāmo</b>. so taṃ upasaṅkamitvā evaṃ vadeyya, ""icchāmi ahaṃ, bhante, rājagahaṃ gantuṃ, tassa me rājagahassa maggaṃ upadisā'ti.","What do you think [about] this, brahmin; here, a man would come along wishing to go to Rājagaha. Having approached you, he would say, ""Venerable sir, I wish to go to Rājagaha. Point out the way to Rājagaha to me.""",
24266,gantuṃ,gantuṃ,MN107,,"taṃ kiṃ maññasi, brāhmaṇa, idha puriso āgaccheyya rājagahaṃ <b>gantu</b>'kāmo. so taṃ upasaṅkamitvā evaṃ vadeyya, ""icchāmi ahaṃ, bhante, rājagahaṃ <b>gantuṃ</b>, tassa me rājagahassa maggaṃ upadisā'ti.","What do you think [about] this, brahmin; here, a man would come along wishing to go to Rājagaha. Having approached you, he would say, ""Venerable sir, I wish to go to Rājagaha. Point out the way to Rājagaha to me.""",
13791,imasmiṃ 1,imasmiṃ,MN107,,"sakkā nu kho, bho gotama, <b>imasmiṃ</b> dhammavinaye evam'eva anupubbasikkhā anupubbakiriyā anupubbapaṭipadā paññapetuṃ?","Master Gotama, is it possible, similarly, to describe gradual training, gradual undertaking, gradual progress in this Doctrine-and-Discipline?",
39987,paññapetuṃ,paññapetuṃ,MN107,,"sakkā nu kho, bho gotama, imasmiṃ dhammavinaye evam'eva anupubbasikkhā anupubbakiriyā anupubbapaṭipadā <b>paññapetuṃ</b>?","Master Gotama, is it possible, similarly, to describe gradual training, gradual undertaking, gradual progress in this Doctrine-and-Discipline?",
54872,rājagaha,rājagahaṃ,MN107,,"taṃ kiṃ maññasi, brāhmaṇa, idha puriso āgaccheyya <b>rājagahaṃ</b> gantu'kāmo. so taṃ upasaṅkamitvā evaṃ vadeyya, ""icchāmi ahaṃ, bhante, rājagahaṃ gantuṃ, tassa me rājagahassa maggaṃ upadisā'ti.","What do you think [about] this, brahmin; here, a man would come along wishing to go to Rājagaha. Having approached you, he would say, ""Venerable sir, I wish to go to Rājagaha. Point out the way to Rājagaha to me.""",
56427,sakkā 1,sakkā,MN107,,"<b>sakkā</b> nu kho, bho gotama, imasmiṃ dhammavinaye evam'eva anupubbasikkhā anupubbakiriyā anupubbapaṭipadā paññapetuṃ?","Master Gotama, is it possible, similarly, to describe gradual training, gradual undertaking, gradual progress in this Doctrine-and-Discipline?",
56426,sakkā nu,sakkā nu,MN107,,"<b>sakkā nu</b> kho, bho gotama, imasmiṃ dhammavinaye evam'eva anupubbasikkhā anupubbakiriyā anupubbapaṭipadā paññapetuṃ?","Master Gotama, is it possible, similarly, to describe gradual training, gradual undertaking, gradual progress in this Doctrine-and-Discipline?",
15649,upadisati,upadisā,MN107,,"taṃ kiṃ maññasi, brāhmaṇa, idha puriso āgaccheyya rājagahaṃ gantu'kāmo. so taṃ upasaṅkamitvā evaṃ vadeyya, ""icchāmi ahaṃ, bhante, rājagahaṃ gantuṃ, tassa me rājagahassa maggaṃ <b>upadisā</b>'ti.","What do you think [about] this, brahmin; here, a man would come along wishing to go to Rājagaha. Having approached you, he would say, ""Venerable sir, I wish to go to Rājagaha. Point out the way to Rājagaha to me.""",
66148,vadeyya,vadeyya,MN107,,"taṃ kiṃ maññasi, brāhmaṇa, idha puriso āgaccheyya rājagahaṃ gantu'kāmo. so taṃ upasaṅkamitvā evaṃ <b>vadeyya</b>, ""icchāmi ahaṃ, bhante, rājagahaṃ gantuṃ, tassa me rājagahassa maggaṃ upadisā'ti.","What do you think [about] this, brahmin; here, a man would come along wishing to go to Rājagaha. Having approached you, he would say, ""Venerable sir, I wish to go to Rājagaha. Point out the way to Rājagaha to me.""",
49434,bhaya 3,,MN107 (simpl),,"aṇumattesu vajjesu <b>bhayaṃ</b> dassāvī, samādāya sikkhāhi sikkhāpadesu","Seeing danger in the slightest fault, train yourself [by] undertaking the training precepts.",
32141,dassāvī 1,dassāvī,MN107 (simpl),,"aṇumattesu vajjesu bhayaṃ <b>dassāvī</b>, samādāya sikkhāhi sikkhāpadesu","Seeing danger in the slightest fault, train yourself [by] undertaking the training precepts.",
