id,pali,selected_pali_word,word in context,pos,meaning,sutta_number,sutta_name,class_example,match status
53097,mūlaka 1,mūlakā,bhagavaṃmūlakā,adj,rooted in; originating in; stemming from; because of,sn22.58,sammāsambuddhasuttaṃ,"bhagavaṃ<b>mūlakā</b> no, bhante, dhammā bhagavaṃnettikā bhagavaṃpaṭisaraṇā.",Similar
37615,nibbāpana 1,nibbāpanāya,nibbāpanāya,nt,(of fire) extinguishing; quenching; putting out,sn56.34,celasuttaṃ,"āditte, bhante, cele vā sīse vā, tasseva celassa vā sīsassa vā <b>nibbāpanāya</b> adhimatto chando ca vāyāmo ca ussāho ca ussoḷhī ca appaṭivānī ca sati ca sampajaññañca karaṇīyanti.",Similar
42180,paduma 1,padumaṃ,padumaṃ,nt,lotus; (specifically) pink lotus; (comm) lotus with more than one hundred petals; (or) white lotus,sn22.94,pupphasuttaṃ,"seyyathāpi, bhikkhave, uppalaṃ vā <b>padumaṃ</b> vā puṇḍarīkaṃ vā udake jātaṃ udake saṃvaḍḍhaṃ udakā accuggamma ṭhāti anupalittaṃ udakena, evameva kho, bhikkhave, tathāgato loke jāto loke saṃvaḍḍho lokaṃ abhibhuyya viharati anupalitto lokenāti.",Similar
39739,pajjota 1,pajjotaṃ,telapajjotaṃ,masc,lamp; lantern,mn107,gaṇakamoggallānasuttaṃ,"seyyathāpi, bho gotama, nikkujjitaṃ vā ukkujjeyya, paṭicchannaṃ vā vivareyya, mūḷhassa vā maggaṃ ācikkheyya, andhakāre vā tela<b>pajjotaṃ</b> dhāreyya, cakkhumanto rūpāni dakkhantīti,",Similar
45847,pālaka 1,pālako,gopālako,masc,shepherd; herder,sn35.241,paṭhamadārukkhandhopamasuttaṃ,tena kho pana samayena nando go<b>pālako</b> bhagavato avidūre ṭhito hoti.,Similar
42308,panāhaṃ,panāhaṃ,panāhaṃ,sandhi,but I; then I; and I,sn47.9,gilānasuttaṃ,"etarahi kho <b>panāhaṃ</b>, ānanda, jiṇṇo vuddho mahallako addhagato vayoanuppatto.",Similar
41538,paṇāmetvā 2,paṇāmetvā,paṇāmetvā,abs,(of hands) having stretched out (in reverential salutation),sn22.82,puṇṇamasuttaṃ,"atha kho aññataro bhikkhu uṭṭhāyāsanā ekaṃsaṃ uttarāsaṅgaṃ karitvā yena bhagavā tenañjaliṃ <b>paṇāmetvā</b> bhagavantaṃ etadavoca,",Similar
42293,panassa,panassa,panassa,sandhi,and for him; and his,sn47.20,janapadakalyāṇīsuttaṃ,"sā kho <b>panassa</b> janapadakalyāṇī paramapāsāvinī nacce, paramapāsāvinī gīte.",Similar
42303,panāyasmā,panāyasmā,panāyasmā,sandhi,and venerable,sn22.71,rādhasuttaṃ,aññataro ca <b>panāyasmā</b> rādho arahataṃ ahosīti.,Similar
42335,panetaṃ,panetaṃ,panetaṃ,sandhi,and this; but this,sn47.19,sedakasuttaṃ,"evaṃ vutte, bhikkhave, medakathālikā antevāsī caṇḍālavaṃsikaṃ etadavoca, na kho <b>panetaṃ</b>, ācariya, evaṃ bhavissati.",Similar
