id,pali,selected_pali_word,sutta_number,sutta_name,class_example
893,acirapabbajita,acirapabbajitā,sn47.4,sālasuttaṃ,"ye te, bhikkhave, bhikkhū navā <b>acirapabbajitā</b> adhun'āgatā imaṃ dhammavinayaṃ, te vo, bhikkhave, bhikkhū catunnaṃ satipaṭṭhānānaṃ bhāvanāya samādapetabbā nivesetabbā patiṭṭhāpetabbā."
2476,attadīpa,attadīpā,sn47.9,gilānasuttaṃ,"tasmā't'ih'ānanda, <b>attadīpā</b> viharatha attasaraṇā anaññasaraṇā, dhammadīpā dhammasaraṇā anaññasaraṇā."
3404,adhunā,,sn47.4,sālasuttaṃ,"ye te, bhikkhave, bhikkhū navā acirapabbajitā <b>adhun</b>'āgatā imaṃ dhammavinayaṃ, te vo, bhikkhave, bhikkhū catunnaṃ satipaṭṭhānānaṃ bhāvanāya samādapetabbā nivesetabbā patiṭṭhāpetabbā."
6913,appattamānasa,appattamānasā,sn47.4,sālasuttaṃ,"ye'pi te, bhikkhave, bhikkhū sekhā <b>appattamānasā</b> anuttaraṃ yogakkhemaṃ patthayamānā viharanti, te'pi kāye kāy'ānupassino viharanti ātāpino sampajānā ekodibhūtā vippasannacittā samāhitā ek'aggacittā, kāyassa pariññāya, vedanāsu vedanānupassino viharanti ātāpino sampajānā ekodibhūtā vippasannacittā samāhitā ek'aggacittā, vedanānaṃ pariññāya, citte cittānupassino viharanti ātāpino sampajānā ekodibhūtā vippasannacittā samāhitā ek'aggacittā, cittassa pariññāya, dhammesu dhammānupassino viharanti ātāpino sampajānā ekodibhūtā vippasannacittā samāhitā ek'aggacittā, dhammānaṃ pariññāya."
8537,amaritukāma,amaritu'kāmo,sn47.20,janapadakalyāṇīsuttaṃ,atha puriso āgaccheyya jīvitu'kāmo <b>amaritu'kāmo</b> sukhakāmo dukkhappaṭikūlo.
8732,ayana 1,,sn47.1,ambapālisuttaṃ,"ek'<b>āyano</b> ayaṃ, bhikkhave, maggo sattānaṃ visuddhiyā sokaparidevānaṃ samatikkamāya dukkhadomanassānaṃ atthaṅ'gamāya ñāyassa adhigamāya nibbānassa sacchikiriyāya, yadidaṃ, cattāro satipaṭṭhānā."
10707,avihaññamāna,avihaññamāno,sn47.9,gilānasuttaṃ,tatra sudaṃ bhagavā sato sampajāno adhivāsesi <b>avihaññamāno</b>.
11156,āgata 3,āgatā,sn47.4,sālasuttaṃ,"ye te, bhikkhave, bhikkhū navā acirapabbajitā adhun'<b>āgatā</b> imaṃ dhammavinayaṃ, te vo, bhikkhave, bhikkhū catunnaṃ satipaṭṭhānānaṃ bhāvanāya samādapetabbā nivesetabbā patiṭṭhāpetabbā."
11288,ācariya 1,ācariya,sn47.19,sedakasuttaṃ,"na kho pan'etaṃ, <b>ācariya</b>, evaṃ bhavissati."
17955,etha,etha,sn47.9,gilānasuttaṃ,"tatra kho bhagavā bhikkhū āmantesi, <b>etha</b> tumhe, bhikkhave, samantā vesāliyā yathāmittaṃ yathāsandiṭṭhaṃ yathāsambhattaṃ vassaṃ upetha."
20639,kalyāṇa 1,kalyāṇī,sn47.20,janapadakalyāṇīsuttaṃ,"seyyathā'pi, bhikkhave, janapada<b>kalyāṇī</b>, janapada<b>kalyāṇī</b>'ti kho, bhikkhave, mahājanakāyo sannipateyya."
25212,gelañña,gelaññā,sn47.9,gilānasuttaṃ,atha kho bhagavā gilānā vuṭṭhito aciravuṭṭhito <b>gelaññā</b> vihārā nikkhamitvā vihārapacchāyāyaṃ paññatte āsane nisīdi.
28629,jīvitukāma,jīvitu'kāmo,sn47.20,janapadakalyāṇīsuttaṃ,atha puriso āgaccheyya <b>jīvitu'kāmo</b> amaritu'kāmo sukhakāmo dukkhappaṭikūlo.
28630,jīvituṃ,jīvitu,sn47.20,janapadakalyāṇīsuttaṃ,atha puriso āgaccheyya <b>jīvitu</b>'kāmo amaritu'kāmo sukhakāmo dukkhappaṭikūlo.
32892,dukkhadomanassa,dukkhadomanassānaṃ,sn47.1,ambapālisuttaṃ,"ek'āyano ayaṃ, bhikkhave, maggo sattānaṃ visuddhiyā sokaparidevānaṃ samatikkamāya <b>dukkhadomanassānaṃ</b> atthaṅ'gamāya ñāyassa adhigamāya nibbānassa sacchikiriyāya, yadidaṃ, cattāro satipaṭṭhānā."
33962,desa 1,desā,sn47.7,makkaṭasuttaṃ,"atthi, bhikkhave, himavato pabbatarājassa duggā visamā <b>desā</b>, yattha n'eva makkaṭānaṃ cārī na manussānaṃ."
34734,dhammadīpa,dhammadīpā,sn47.9,gilānasuttaṃ,"tasmā't'ih'ānanda, attadīpā viharatha attasaraṇā anaññasaraṇā, <b>dhammadīpā</b> dhammasaraṇā anaññasaraṇā."
