id,pali,selected_pali_word,sutta_number,sutta_name,class_example
32750,dīghamaddhānaṃ,dīgham'addhānaṃ,sn56.21,paṭhamakoṭigāmasuttaṃ,"tatra kho bhagavā bhikkhū āmantesi, catunnaṃ, bhikkhave, ariyasaccānaṃ ananubodhā appaṭivedhā evam'idaṃ <b>dīgham'addhānaṃ</b> sandhāvitaṃ saṃsaritaṃ mamañ'c'eva tumhākañ'ca."
35540,natthi 1,,,,
35708,nappajānāti,nappajānanti,sn56.42,papātasuttaṃ,"ye hi keci, bhikkhave, samaṇā vā brāhmaṇā vā idaṃ dukkhan'ti yathā-bhūtaṃ <b>nappajānanti</b>, ayaṃ dukkhasamudayo'ti yathābhūtaṃ nappajānanti, ayaṃ dukkhanirodho'ti yathābhūtaṃ nappajānanti, ayaṃ dukkhanirodhagāminī paṭipadā'ti yathābhūtaṃ nappajānanti,"
37615,nibbāpana 1,,,,
37660,nibbidā,nibbidāya,sn56.7,vitakkasuttaṃ,"n'ete, bhikkhave, vitakkā atthasaṃhitā n'ādibrahmacariyakā na <b>nibbidāya</b> na virāgāya na nirodhāya na upasamāya na abhiññāya na sambodhāya na nibbānāya saṃvattanti."
38739,netaṃ ṭhānaṃ vijjati,n'etaṃ ṭhānaṃ vijjati,sn56.44,kūṭāgārasuttaṃ,"yo hi, bhikkhave, evaṃ vadeyya, ahaṃ dukkhaṃ ariyasaccaṃ yathābhūtaṃ anabhisamecca … dukkhanirodhagāminiṃ paṭipadaṃ ariyasaccaṃ yathābhūtaṃ anabhisamecca sammā dukkhass'antaṃ karissāmī'ti, <b>n'etaṃ ṭhānaṃ vijjati</b>."
38883,no 1.1,,,,
40072,paññāyati 1,paññāyanti,sn56.38,dutiyasūriyasuttaṃ,"n'eva tāva rattin'divā paññāyanti, na mās'addhamāsā <b>paññāyanti</b>, na utusaṃvaccharā paññāyanti."
43900,parimuccati,parimuccanti,sn56.42,papātasuttaṃ,te na parimuccanti jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi upāyāsehi.
45383,pāṇi 1,pāṇinā,sn56.31,sīsapāvanasuttaṃ,"atha kho bhagavā parittāni sīsapāpaṇṇāni <b>pāṇinā</b> gahetvā bhikkhū āmantesi, taṃ kiṃ maññatha, bhikkhave, katamaṃ nu kho bahutaraṃ, yāni vā mayā parittāni sīsapāpaṇṇāni pāṇinā gahitāni yāni vā upari sīsapāvane'ti?"
45441,pātu,,,,
47001,purima 1,,,,
47464,ponobhavika,ponobhavikā,sn56.13,khandhasuttaṃ,"y'āyaṃ taṇhā <b>ponobhavikā</b> nandirāgasahagatā tatratatr'ābhinandinī, seyyath'īdaṃ, kāmataṇhā, bhavataṇhā, vibhavataṇhā."
48273,bāla 2,,,,
48903,brahma 1,brahmake,sn56.28,lokasuttaṃ,"sadevake loke samārake sabrahmake, sassamaṇabrāhmaṇiyā pajāya sadevamanussāya, tathāgato ariyo, tasmā ariyasaccānī'ti vuccanti."
49846,bhāvetabba,bhāvetabbaṃ,sn56.29,pariññeyyasuttaṃ,dukkhanirodhagāminī paṭipadā ariyasaccaṃ <b>bhāvetabbaṃ</b>.
49849,bhāveti,bhāvetha,sn56.1,samādhisuttaṃ,"samādhiṃ, bhikkhave, <b>bhāvetha</b>."
50151,bhūta 04,yathābhūtaṃ,sn56.1,samādhisuttaṃ,"samāhito, bhikkhave, bhikkhu <b>yathābhūtaṃ</b> pajānāti."
51943,mahāsamudda,mahāsamudde,sn56.47,paṭhamachiggaḷayugasuttaṃ,"seyyathā'pi, bhikkhave, puriso <b>mahāsamudde</b> ekacchiggaḷaṃ yugaṃ"
53973,yāni,yāni,sn56.31,sīsapāvanasuttaṃ,"atha kho bhagavā parittāni sīsapāpaṇṇāni pāṇinā gahetvā bhikkhū āmantesi, taṃ kiṃ maññatha, bhikkhave, katamaṃ nu kho bahutaraṃ, <b>yāni</b> vā mayā parittāni sīsapāpaṇṇāni pāṇinā gahitāni yāni vā upari sīsapāvane'ti?"
54208,yo,yo,sn56.13,khandhasuttaṃ,yo tassā'y'eva taṇhāya asesavirāganirodho cāgo paṭinissaggo mutti anālayo.
54851,rāja 1,,,,
55331,rūpupādānakkhandha,rūp'upādānakkhandho,sn56.13,khandhasuttaṃ,"pañcupādānakkhandhātissa vacanīyaṃ, seyyath'īdaṃ, <b>rūp'upādānakkhandho</b>, vedan'upādānakkhandho, saññ'upādānakkhandho, saṅkhār'upādānakkhandho, viññāṇ'upādānakkhandho."
55972,loka 1,loke,sn56.38,dutiyasūriyasuttaṃ,"yāvakīvañ'ca, bhikkhave, candimasūriyā <b>loke</b> n'uppajjanti, n'eva tāva mahato ālokassa pātubhāvo hoti mahato obhāsassa."
56819,saṅkhārupādānakkhandha,saṅkhār'upādānakkhandho,sn56.13,khandhasuttaṃ,"pañcupādānakkhandhātissa vacanīyaṃ, seyyath'īdaṃ, rūp'upādānakkhandho, vedan'upādānakkhandho, saññ'upādānakkhandho, <b>saṅkhār'upādānakkhandho</b>, viññāṇ'upādānakkhandho."
57122,sacca 2,ariyasaccāni,sn56.5,paṭhamasamaṇabrāhmaṇasuttaṃ,"ye hi keci, bhikkhave, atītam'addhānaṃ samaṇā vā brāhmaṇā vā yathābhūtaṃ abhisambojjhiṃsu, sabbe te cattāri <b>ariyasaccāni</b> yathābhūtaṃ abhisambojjhiṃsu."
57474,saññupādānakkhandha,saññ'upādānakkhandho,sn56.13,khandhasuttaṃ,"pañcupādānakkhandhātissa vacanīyaṃ, seyyath'īdaṃ, rūp'upādānakkhandho, vedan'upādānakkhandho, <b>saññ'upādānakkhandho</b>, saṅkhār'upādānakkhandho, viññāṇ'upādānakkhandho."
57676,satta 2.1,,,,
58457,sandhāvanta,sandhāvantā,sn56.33,daṇḍasuttaṃ,"evam'eva kho, bhikkhave, avijjānīvaraṇā sattā taṇhāsaṃyojanā <b>sandhāvantā</b> saṃsarantā sakim'pi asmā lokā paraṃ lokaṃ gacchanti, sakim'pi parasmā lokā imaṃ lokaṃ āgacchanti."
58771,sabba 1,sabbe,sn56.5,paṭhamasamaṇabrāhmaṇasuttaṃ,"ye hi keci, bhikkhave, atītam'addhānaṃ samaṇā vā brāhmaṇā vā yathābhūtaṃ abhisambojjhiṃsu, <b>sabbe</b> te cattāri ariyasaccāni yathābhūtaṃ abhisambojjhiṃsu."
59062,sabrahmaka,sabrahmake,sn56.28,lokasuttaṃ,"sadevake loke samārake <b>sabrahmake</b>, sassamaṇabrāhmaṇiyā pajāya sadevamanussāya, tathāgato ariyo, tasmā ariyasaccānī'ti vuccanti."
59177,samaṇa 1,samaṇā,sn56.5,paṭhamasamaṇabrāhmaṇasuttaṃ,"ye hi keci, bhikkhave, atītam'addhānaṃ <b>samaṇā</b> vā brāhmaṇā vā yathābhūtaṃ abhisambojjhiṃsu, sabbe te cattāri ariyasaccāni yathābhūtaṃ abhisambojjhiṃsu."
59215,samaṇabrāhmaṇā,samaṇā vā brāhmaṇā vā,sn56.5,paṭhamasamaṇabrāhmaṇasuttaṃ,"ye hi keci, bhikkhave, atītam'addhānaṃ <b>samaṇā vā brāhmaṇā vā</b> yathābhūtaṃ abhisambojjhiṃsu, sabbe te cattāri ariyasaccāni yathābhūtaṃ abhisambojjhiṃsu."
60048,samudda,samudayo,sn56.1,samādhisuttaṃ,"idaṃ dukkhan'ti yathābhūtaṃ pajānāti, ayaṃ dukkha<b>samudayo</b>'ti yathābhūtaṃ pajānāti, ayaṃ dukkhanirodho'ti yathābhūtaṃ pajānāti, ayaṃ dukkhanirodhagāminī paṭipadā'ti yathābhūtaṃ pajānāti."
60293,sampanna 3,,,,
60590,sambuddha 1,,,,
61369,sahagata,sahagatā,sn56.13,khandhasuttaṃ,"y'āyaṃ taṇhā ponobhavikā nandirāga<b>sahagatā</b> tatratatr'ābhinandinī, seyyath'īdaṃ, kāmataṇhā, bhavataṇhā, vibhavataṇhā."
61773,saṃsaranta,saṃsarantā,sn56.33,daṇḍasuttaṃ,"evam'eva kho, bhikkhave, avijjānīvaraṇā sattā taṇhāsaṃyojanā sandhāvantā <b>saṃsarantā</b> sakim'pi asmā lokā paraṃ lokaṃ gacchanti, sakim'pi parasmā lokā imaṃ lokaṃ āgacchanti."
61776,saṃsarita 2,saṃsaritaṃ,sn56.21,paṭhamakoṭigāmasuttaṃ,"tatra kho bhagavā bhikkhū āmantesi, catunnaṃ, bhikkhave, ariyasaccānaṃ ananubodhā appaṭivedhā evam'idaṃ dīgham'addhānaṃ sandhāvitaṃ <b>saṃsaritaṃ</b> mamañ'c'eva tumhākañ'ca."
67615,vijjati 1,,,,
67758,viññāṇupādānakkhandha,viññāṇ'upādānakkhandho,sn56.13,khandhasuttaṃ,"pañcupādānakkhandhātissa vacanīyaṃ, seyyath'īdaṃ, rūp'upādānakkhandho, vedan'upādānakkhandho, saññ'upādānakkhandho, saṅkhār'upādānakkhandho, <b>viññāṇ'upādānakkhandho</b>."
68603,vibhava 2,vibhavataṇhā,sn56.13,khandhasuttaṃ,"y'āyaṃ taṇhā ponobhavikā nandirāgasahagatā tatratatr'ābhinandinī, seyyath'īdaṃ, kāmataṇhā, bhavataṇhā, <b>vibhavataṇhā</b>."
68871,virāga 1.1,virāgāya,sn56.7,vitakkasuttaṃ,"n'ete, bhikkhave, vitakkā atthasaṃhitā n'ādibrahmacariyakā na nibbidāya na <b>virāgāya</b> na nirodhāya na upasamāya na abhiññāya na sambodhāya na nibbānāya saṃvattanti."
70293,vedanupādānakkhandha,vedan'upādānakkhandho,sn56.13,khandhasuttaṃ,"pañcupādānakkhandhātissa vacanīyaṃ, seyyath'īdaṃ, rūp'upādānakkhandho, <b>vedan'upādānakkhandho</b>, saññ'upādānakkhandho, saṅkhār'upādānakkhandho, viññāṇ'upādānakkhandho."
