id,pali,selected_pali_word,sutta_number,sutta_name,class_example
21185,kāyapariyantika,kāyapariyantikaṃ,sn12.51,parivīmaṃsanasuttaṃ,"so kāyapariyantikaṃ vedanaṃ vedayamāno kāyapariyantikaṃ vedanaṃ vedayāmī'ti pajānāti, jīvitapariyantikaṃ vedanaṃ vedayamāno jīvitapariyantikaṃ vedanaṃ vedayāmī'ti pajānāti."
21632,kiccha 2,kicchaṃ,sn12.10,gotamasuttaṃ,"pubb'eva me, bhikkhave, sambodhā anabhisambuddhassa bodhisattass'eva sato etadahosi, <b>kicchaṃ</b> vat'āyaṃ loko āpanno jāyati ca jīyati ca mīyati ca cavati ca upapajjati ca."
22318,kudā,kudā,sn12.10,gotamasuttaṃ,kudāssu nāma imassa dukkhassa nissaraṇaṃ paññāyissati jarāmaraṇassā'ti?
22324,kudāssu,kudāssu,sn12.10,gotamasuttaṃ,kudāssu nāma imassa dukkhassa nissaraṇaṃ paññāyissati jarāmaraṇassā'ti?
22434,kumbha,,,,
22524,kurū,kurūsu,sn12.66,sammasasuttaṃ,"evaṃ me sutaṃ, ekaṃ samayaṃ bhagavā <b>kurūsu</b> viharati kammāsadhammaṃ nāma kurūnaṃ nigamo."
22905,kevala 1,kevalassa,sn12.1,paṭiccasamuppādasuttaṃ,evam'etassa <b>kevalassa</b> dukkhakkhandhassa samudayo hoti.
23751,khīṇaniraya,khīṇanirayo,sn12.41,pañcaverabhayasuttaṃ,"so ākaṅkhamāno attanā'va attānaṃ byākareyya, <b>khīṇanirayo</b>'mhi khīṇatiracchānayoni khīṇapettivisayo khīṇ'āpāyaduggativinipāto, sot'āpanno'ham'asmi avinipātadhammo niyato sambodhiparāyano'ti."
23880,khetta,,,,
24349,gandhasampanna,gandhasampanno,sn12.66,sammasasuttaṃ,"seyyathā'pi, bhikkhave, āpānīyakaṃso vaṇṇasampanno <b>gandhasampanno</b> rasasampanno."
24950,gilāna 1,,,,
25671,cakka 1,cakkhuṃ,sn12.10,gotamasuttaṃ,"samudayo, samudayo'ti kho me, bhikkhave, pubbe ananussutesu dhammesu <b>cakkhuṃ</b> udapādi, ñāṇaṃ udapādi, paññā udapādi, vijjā udapādi, āloko udapādi."
26350,cavati 2,cavati,sn12.10,gotamasuttaṃ,"pubb'eva me, bhikkhave, sambodhā anabhisambuddhassa bodhisattass'eva sato etadahosi, kicchaṃ vat'āyaṃ loko āpanno jāyati ca jīyati ca mīyati ca <b>cavati</b> ca upapajjati ca."
26516,cāhaṃ 1,c'āhaṃ,sn12.12,moḷiyaphaggunasuttaṃ,evaṃ c'āhaṃ na vadāmi.
27058,cetasika 1,,,,
28043,jarāmaraṇanirodha,jarāmaraṇanirodho,sn12.1,paṭiccasamuppādasuttaṃ,"avijjāya tv'eva asesavirāganirodhā saṅkhāranirodho, saṅkhāranirodhā viññāṇanirodho, viññāṇanirodhā nāmarūpanirodho, nāmarūpanirodhā saḷāyatananirodho, saḷāyatananirodhā phassanirodho, phassanirodhā vedanānirodho, vedanānirodhā taṇhānirodho, taṇhānirodhā upādānanirodho, upādānanirodhā bhavanirodho, bhavanirodhā jātinirodho, jātinirodhā <b>jarāmaraṇanirodho</b>, jarāmaraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti."
28352,jāyati 1,jāyati,sn12.10,gotamasuttaṃ,"pubb'eva me, bhikkhave, sambodhā anabhisambuddhassa bodhisattass'eva sato etadahosi, kicchaṃ vat'āyaṃ loko āpanno <b>jāyati</b> ca jīyati ca mīyati ca cavati ca upapajjati ca."
28547,jīyati,jīyati,sn12.10,gotamasuttaṃ,"pubb'eva me, bhikkhave, sambodhā anabhisambuddhassa bodhisattass'eva sato etadahosi, kicchaṃ vat'āyaṃ loko āpanno jāyati ca <b>jīyati</b> ca mīyati ca cavati ca upapajjati ca."
28594,jīvita 1,jīvitapariyantikaṃ,sn12.51,parivīmaṃsanasuttaṃ,"so kāyapariyantikaṃ vedanaṃ vedayamāno kāyapariyantikaṃ vedanaṃ vedayāmī'ti pajānāti, <b>jīvitapariyantikaṃ</b> vedanaṃ vedayamāno <b>jīvitapariyantikaṃ</b> vedanaṃ vedayāmī'ti pajānāti."
28605,jīvitapariyantika,jīvitapariyantikaṃ,sn12.51,parivīmaṃsanasuttaṃ,"kāyapariyantikaṃ vedanaṃ vedayamāno kāyapariyantikaṃ vedanaṃ vedayāmī'ti pajānāti, <b>jīvitapariyantikaṃ</b> vedanaṃ vedayamāno jīvitapariyantikaṃ vedanaṃ vedayāmī'ti pajānāti."
28606,jīvitapariyādāna,jīvitapariyādānā,sn12.51,parivīmaṃsanasuttaṃ,"kāyassa bhedā uddhaṃ <b>jīvitapariyādānā</b> idh'eva sabbavedayitāni anabhinanditāni sītībhavissanti, sarīrāni avasissantīti pajānāti."
28961,ñāyappaṭipanna,ñāyappaṭipanno,sn12.41,pañcaverabhayasuttaṃ,"saṅghe aveccappasādena samannāgato hoti, suppaṭipanno bhagavato sāvakasaṅgho, ujuppaṭipanno bhagavato sāvakasaṅgho, <b>ñāyappaṭipanno</b> bhagavato sāvakasaṅgho, sāmīcippaṭipanno bhagavato sāvakasaṅgho, yadidaṃ cattāri purisayugāni aṭṭha purisapuggalā, esa bhagavato sāvakasaṅgho āhuneyyo pāhuneyyo dakkhiṇeyyo añjalikaraṇīyo anuttaraṃ puññakkhettaṃ lokassā'ti."
29032,ṭhāna,ṭhitiyā,sn12.12,moḷiyaphaggunasuttaṃ,"cattāro'me, bhikkhave, āhārā bhūtānaṃ vā sattānaṃ <b>ṭhitiyā</b> sambhav'esīnaṃ vā anuggahāya."
29236,taca 1,,,,
30323,tāla 1.1,,,,
30349,tālāvatthukata,tāl'āvatthukato,sn12.55,mahārukkhasuttaṃ,"evañ'hi so, bhikkhave, mahārukkho ucchinnamūlo assa <b>tāl'āvatthukato</b> anabhāvaṃkato āyatiṃ anuppādadhammo."
32680,divasa,,,,
33035,duggati,duggati,sn12.41,pañcaverabhayasuttaṃ,"khīṇanirayo'mhi khīṇatiracchānayoni khīṇapettivisayo khīṇ'āpāya<b>duggati</b>vinipāto, sot'āpanno'ham'asmi avinipātadhammo niyato sambodhiparāyano'ti."
36463,nāmarūpapaccayā,nāmarūpapaccayā,sn12.1,paṭiccasamuppādasuttaṃ,"avijjāpaccayā, bhikkhave, saṅkhārā, saṅkhārapaccayā viññāṇaṃ, viññāṇapaccayā nāmarūpaṃ, <b>nāmarūpapaccayā</b> saḷāyatanaṃ, saḷāyatanapaccayā phasso, phassapaccayā vedanā, vedanāpaccayā taṇhā, taṇhāpaccayā upādānaṃ, upādānapaccayā bhavo, bhavapaccayā jāti, jātipaccayā jarāmaraṇaṃ soka-parideva-dukkha-domanass'upāyāsā sambhavanti."
37192,nidāna 1,,,,
37876,niyata 2,,,,
37999,niraya,,,,
38455,nivisati,,,,
39003,pakāra 1,,,,
39317,paccattaññeva,,,,
41851,patta 3.1,,,,
42304,panāyaṃ,,,,
43137,parāyana,sambodhiparāyano,sn12.41,pañcaverabhayasuttaṃ,"so ākaṅkhamāno attanā'va attānaṃ byākareyya, khīṇanirayo'mhi khīṇatiracchānayoni khīṇapettivisayo khīṇ'āpāyaduggativinipāto, sot'āpanno'ham'asmi avinipātadhammo niyato <b>sambodhiparāyano</b>'ti."
43463,paritassati,,,,
43937,pariyantika,pariyantikaṃ,sn12.51,pañcaverabhayasuttaṃ,"so kāyapariyantikaṃ vedanaṃ vedayamāno kāyapariyantikaṃ vedanaṃ vedayāmī'ti pajānāti, jīvitapariyantikaṃ vedanaṃ vedayamāno jīvitapariyantikaṃ vedanaṃ vedayāmī'ti pajānāti."
43942,pariyādāna 1,,,,
44108,parisā 1,parisāsu,sn12.22,dutiyadasabalasuttaṃ,"dasabalasamannāgato, bhikkhave, tathāgato catūhi ca vesārajjehi samannāgato āsabhaṃ ṭhānaṃ paṭijānāti, <b>parisāsu</b> sīhanādaṃ nadati, brahmacakkaṃ pavatteti, iti rūpaṃ iti rūpassa samudayo iti rūpassa atthaṅ'gamo, iti vedanā iti vedanāya samudayo iti vedanāya atthaṅ'gamo, iti saññā iti saññāya samudayo iti saññāya atthaṅ'gamo, iti saṅkhārā iti saṅkhārānaṃ samudayo iti saṅkhārānaṃ atthaṅ'gamo, iti viññāṇaṃ iti viññāṇassa samudayo iti viññāṇassa atthaṅ'gamo."
44404,pareta,,,,
44587,pasattha,,,,
44647,pasāda 1,,,,
44810,pavaḍḍhati 1,pavaḍḍhati,sn12.55,mahārukkhasuttaṃ,"upādāniyesu, bhikkhave, dhammesu assād'ānupassino viharato taṇhā <b>pavaḍḍhati</b>."
46156,pipāsita,pipāsito,sn12.66,sammasasuttaṃ,atha puriso āgaccheyya ghamm'ābhitatto ghammapareto kilanto tasito <b>pipāsito</b>.
46299,pivanta,,,,
47745,phīta,phītañ,sn12.65,nagarasuttaṃ,tadassa nagaraṃ aparena samayena iddhañ'c'eva <b>phītañ</b>ca bāhujaññaṃ ākiṇṇamanussaṃ vuddhivepullappattaṃ.
48511,buddha,,,,
49642,bhāga 1,,,,
50077,bhujissa,,,,
50270,bheda 2,,,,
50322,bhesajja,bhesajja,sn12.22,dutiyadasabalasuttaṃ,"yesañ'ca mayaṃ paribhuñjāma cīvara-piṇḍapāta-sen'āsana-gilānappaccaya-<b>bhesajja</b>-parikkhāraṃ tesaṃ te kārā amhesu mahapphalā bhavissanti mah'ānisaṃsā'ti, evañ'hi vo, bhikkhave, sikkhitabbaṃ."
50689,majja 1,,,,
51128,manasikāra,manasi,sn12.1,paṭiccasamuppādasuttaṃ,"paṭiccasamuppādaṃ vo, bhikkhave, desessāmi, taṃ suṇātha, sādhukaṃ <b>manasi</b> karotha, bhāsissāmī'ti."
51280,manosañcetanā,manosañcetanā,sn12.12,moḷiyaphaggunasuttaṃ,"cattāro'me, bhikkhave, āhārā bhūtānaṃ vā sattānaṃ ṭhitiyā sambhav'esīnaṃ vā anuggahāya. katame cattāro? kabaḷīkāro āhāro, oḷāriko vā sukhumo vā, phasso dutiyo, <b>manosañcetanā</b> tatiyā, viññāṇaṃ catutthaṃ."
52105,maṃsa,,,,
